"Year","Emissions","scenario","category","gas","unit","region","gwp"
"1990",5579.07027422583,"GHGI2015","NetTotal","Total","MMTCO2e","USA","AR5"
"1991",5553.40190921936,"GHGI2015","NetTotal","Total","MMTCO2e","USA","AR5"
"1992",5670.47791534205,"GHGI2015","NetTotal","Total","MMTCO2e","USA","AR5"
"1993",5815.46198728365,"GHGI2015","NetTotal","Total","MMTCO2e","USA","AR5"
"1994",5863.82226657247,"GHGI2015","NetTotal","Total","MMTCO2e","USA","AR5"
"1995",5989.90540127164,"GHGI2015","NetTotal","Total","MMTCO2e","USA","AR5"
"1996",6198.46244695632,"GHGI2015","NetTotal","Total","MMTCO2e","USA","AR5"
"1997",6299.08081160956,"GHGI2015","NetTotal","Total","MMTCO2e","USA","AR5"
"1998",6368.76536406452,"GHGI2015","NetTotal","Total","MMTCO2e","USA","AR5"
"1999",6483.80583751325,"GHGI2015","NetTotal","Total","MMTCO2e","USA","AR5"
"2000",6620.58424596727,"GHGI2015","NetTotal","Total","MMTCO2e","USA","AR5"
"2001",6457.79132214765,"GHGI2015","NetTotal","Total","MMTCO2e","USA","AR5"
"2002",6410.27519757447,"GHGI2015","NetTotal","Total","MMTCO2e","USA","AR5"
"2003",6345.25543306252,"GHGI2015","NetTotal","Total","MMTCO2e","USA","AR5"
"2004",6438.77372577417,"GHGI2015","NetTotal","Total","MMTCO2e","USA","AR5"
"2005",6483.56515342046,"GHGI2015","NetTotal","Total","MMTCO2e","USA","AR5"
"2006",6356.05256634876,"GHGI2015","NetTotal","Total","MMTCO2e","USA","AR5"
"2007",6510.4924600259,"GHGI2015","NetTotal","Total","MMTCO2e","USA","AR5"
"2008",6344.40013411044,"GHGI2015","NetTotal","Total","MMTCO2e","USA","AR5"
"2009",5896.99871117391,"GHGI2015","NetTotal","Total","MMTCO2e","USA","AR5"
"2010",6067.27789485459,"GHGI2015","NetTotal","Total","MMTCO2e","USA","AR5"
"2011",5933.34346049688,"GHGI2015","NetTotal","Total","MMTCO2e","USA","AR5"
"2012",5701.2744974685,"GHGI2015","NetTotal","Total","MMTCO2e","USA","AR5"
