"publication","region","unit","Year","gwp","gas","Emissions","scenario","category"
"2014 CAR","USA","MMTCO2e","1990","AR5","Total",5551.3918592796,"CAR2014_WM_highseq","NetTotal"
"2014 CAR","USA","MMTCO2e","1991","AR5","Total",5498.19409964402,"CAR2014_WM_highseq","NetTotal"
"2014 CAR","USA","MMTCO2e","1992","AR5","Total",5631.05791197553,"CAR2014_WM_highseq","NetTotal"
"2014 CAR","USA","MMTCO2e","1993","AR5","Total",5767.37687749182,"CAR2014_WM_highseq","NetTotal"
"2014 CAR","USA","MMTCO2e","1994","AR5","Total",5805.18389396369,"CAR2014_WM_highseq","NetTotal"
"2014 CAR","USA","MMTCO2e","1995","AR5","Total",5918.26591143853,"CAR2014_WM_highseq","NetTotal"
"2014 CAR","USA","MMTCO2e","1996","AR5","Total",6107.56114201879,"CAR2014_WM_highseq","NetTotal"
"2014 CAR","USA","MMTCO2e","1997","AR5","Total",6192.12074448285,"CAR2014_WM_highseq","NetTotal"
"2014 CAR","USA","MMTCO2e","1998","AR5","Total",6269.55750629008,"CAR2014_WM_highseq","NetTotal"
"2014 CAR","USA","MMTCO2e","1999","AR5","Total",6408.9060087651,"CAR2014_WM_highseq","NetTotal"
"2014 CAR","USA","MMTCO2e","2000","AR5","Total",6555.66459679332,"CAR2014_WM_highseq","NetTotal"
"2014 CAR","USA","MMTCO2e","2001","AR5","Total",6380.02324085343,"CAR2014_WM_highseq","NetTotal"
"2014 CAR","USA","MMTCO2e","2002","AR5","Total",6307.28880305243,"CAR2014_WM_highseq","NetTotal"
"2014 CAR","USA","MMTCO2e","2003","AR5","Total",6246.16467881817,"CAR2014_WM_highseq","NetTotal"
"2014 CAR","USA","MMTCO2e","2004","AR5","Total",6321.95519992247,"CAR2014_WM_highseq","NetTotal"
"2014 CAR","USA","MMTCO2e","2005","AR5","Total",6357.12603080707,"CAR2014_WM_highseq","NetTotal"
"2014 CAR","USA","MMTCO2e","2006","AR5","Total",6355.32160189006,"CAR2014_WM_highseq","NetTotal"
"2014 CAR","USA","MMTCO2e","2007","AR5","Total",6499.44284039667,"CAR2014_WM_highseq","NetTotal"
"2014 CAR","USA","MMTCO2e","2008","AR5","Total",6316.14686654557,"CAR2014_WM_highseq","NetTotal"
"2014 CAR","USA","MMTCO2e","2009","AR5","Total",5871.10027017139,"CAR2014_WM_highseq","NetTotal"
"2014 CAR","USA","MMTCO2e","2010","AR5","Total",6086.53356162426,"CAR2014_WM_highseq","NetTotal"
"2014 CAR","USA","MMTCO2e","2011","AR5","Total",5957.7117976934,"CAR2014_WM_highseq","NetTotal"
"2014 CAR","USA","MMTCO2e","2012","AR5","Total",5852.4008105431,"CAR2014_WM_highseq","NetTotal"
"2014 CAR","USA","MMTCO2e","2013","AR5","Total",5867.36844968967,"CAR2014_WM_highseq","NetTotal"
"2014 CAR","USA","MMTCO2e","2014","AR5","Total",5879.78405501012,"CAR2014_WM_highseq","NetTotal"
"2014 CAR","USA","MMTCO2e","2015","AR5","Total",5924.8993712575,"CAR2014_WM_highseq","NetTotal"
"2014 CAR","USA","MMTCO2e","2016","AR5","Total",5908.65761289213,"CAR2014_WM_highseq","NetTotal"
"2014 CAR","USA","MMTCO2e","2017","AR5","Total",5974.50501349381,"CAR2014_WM_highseq","NetTotal"
"2014 CAR","USA","MMTCO2e","2018","AR5","Total",6029.75851284708,"CAR2014_WM_highseq","NetTotal"
"2014 CAR","USA","MMTCO2e","2019","AR5","Total",6078.93257590713,"CAR2014_WM_highseq","NetTotal"
"2014 CAR","USA","MMTCO2e","2020","AR5","Total",6099.05743280361,"CAR2014_WM_highseq","NetTotal"
"2014 CAR","USA","MMTCO2e","2021","AR5","Total",6116.78170843037,"CAR2014_WM_highseq","NetTotal"
"2014 CAR","USA","MMTCO2e","2022","AR5","Total",6167.69085957708,"CAR2014_WM_highseq","NetTotal"
"2014 CAR","USA","MMTCO2e","2023","AR5","Total",6193.28511057075,"CAR2014_WM_highseq","NetTotal"
"2014 CAR","USA","MMTCO2e","2024","AR5","Total",6213.57829203147,"CAR2014_WM_highseq","NetTotal"
"2014 CAR","USA","MMTCO2e","2025","AR5","Total",6247.316851448,"CAR2014_WM_highseq","NetTotal"
"2014 CAR","USA","MMTCO2e","2026","AR5","Total",6249.71902682723,"CAR2014_WM_highseq","NetTotal"
"2014 CAR","USA","MMTCO2e","2027","AR5","Total",6266.98671959814,"CAR2014_WM_highseq","NetTotal"
"2014 CAR","USA","MMTCO2e","2028","AR5","Total",6267.04014656115,"CAR2014_WM_highseq","NetTotal"
"2014 CAR","USA","MMTCO2e","2029","AR5","Total",6283.40505799288,"CAR2014_WM_highseq","NetTotal"
"2014 CAR","USA","MMTCO2e","2030","AR5","Total",6308.59547678602,"CAR2014_WM_highseq","NetTotal"
"2014 CAR","USA","MMTCO2e","2031","AR5","Total",NA,"CAR2014_WM_highseq","NetTotal"
"2014 CAR","USA","MMTCO2e","2032","AR5","Total",NA,"CAR2014_WM_highseq","NetTotal"
"2014 CAR","USA","MMTCO2e","2033","AR5","Total",NA,"CAR2014_WM_highseq","NetTotal"
"2014 CAR","USA","MMTCO2e","2034","AR5","Total",NA,"CAR2014_WM_highseq","NetTotal"
"2014 CAR","USA","MMTCO2e","2035","AR5","Total",NA,"CAR2014_WM_highseq","NetTotal"
"2014 CAR","USA","MMTCO2e","1990","AR5","Total",5551.3918592796,"CAR2014_WM_highseq","NetTotal"
"2014 CAR","USA","MMTCO2e","1991","AR5","Total",5498.19409964402,"CAR2014_WM_highseq","NetTotal"
"2014 CAR","USA","MMTCO2e","1992","AR5","Total",5631.05791197553,"CAR2014_WM_highseq","NetTotal"
"2014 CAR","USA","MMTCO2e","1993","AR5","Total",5767.37687749182,"CAR2014_WM_highseq","NetTotal"
"2014 CAR","USA","MMTCO2e","1994","AR5","Total",5805.18389396369,"CAR2014_WM_highseq","NetTotal"
"2014 CAR","USA","MMTCO2e","1995","AR5","Total",5918.26591143853,"CAR2014_WM_highseq","NetTotal"
"2014 CAR","USA","MMTCO2e","1996","AR5","Total",6107.56114201879,"CAR2014_WM_highseq","NetTotal"
"2014 CAR","USA","MMTCO2e","1997","AR5","Total",6192.12074448285,"CAR2014_WM_highseq","NetTotal"
"2014 CAR","USA","MMTCO2e","1998","AR5","Total",6269.55750629008,"CAR2014_WM_highseq","NetTotal"
"2014 CAR","USA","MMTCO2e","1999","AR5","Total",6408.9060087651,"CAR2014_WM_highseq","NetTotal"
"2014 CAR","USA","MMTCO2e","2000","AR5","Total",6555.66459679332,"CAR2014_WM_highseq","NetTotal"
