model,scenario,unit,year,datasrc,variable,region,value
EPS-EI,IRA,%,2025,bistline_ira_tall.csv,Energy Service|Transportation|Passenger|BEV|Sales Share,United States,0.0015271899999999999
EPS-EI,IRA,%,2025,bistline_ira_tall.csv,Final Energy|Industry and Fuel Production|Percent Electricity,United States,0.00180507704258217
EPS-EI,IRA,%,2030,bistline_ira_tall.csv,Energy Service|Transportation|Passenger|BEV|Sales Share,United States,0.003412818
EPS-EI,IRA,%,2030,bistline_ira_tall.csv,Final Energy|Industry and Fuel Production|Percent Electricity,United States,0.00179669787365608
EPS-EI,IRA,%,2035,bistline_ira_tall.csv,Energy Service|Transportation|Passenger|BEV|Sales Share,United States,0.0036123600000000002
EPS-EI,IRA,%,2035,bistline_ira_tall.csv,Final Energy|Industry and Fuel Production|Percent Electricity,United States,0.00178765589506967
EPS-EI,IRA,%,2040,bistline_ira_tall.csv,Final Energy|Industry and Fuel Production|Percent Electricity,United States,0.0017730787464426301
EPS-EI,IRA,%,2045,bistline_ira_tall.csv,Final Energy|Industry and Fuel Production|Percent Electricity,United States,0.00175904130093726
EPS-EI,IRA,%,2050,bistline_ira_tall.csv,Final Energy|Industry and Fuel Production|Percent Electricity,United States,0.00174434279718593
EPS-EI,IRA,GW,2025,bistline_ira_tall.csv,Capacity|Electricity|Biomass|w/o CCS,United States,0.029
EPS-EI,IRA,GW,2025,bistline_ira_tall.csv,Capacity|Electricity|Coal|w/o CCS,United States,146.858
EPS-EI,IRA,GW,2025,bistline_ira_tall.csv,Capacity|Electricity|Gas|w/o CCS,United States,453.205
EPS-EI,IRA,GW,2025,bistline_ira_tall.csv,Capacity|Electricity|Hydro,United States,79.821
EPS-EI,IRA,GW,2025,bistline_ira_tall.csv,Capacity|Electricity|Nuclear,United States,98.119
EPS-EI,IRA,GW,2025,bistline_ira_tall.csv,Capacity|Electricity|Other,United States,26.516
EPS-EI,IRA,GW,2025,bistline_ira_tall.csv,Capacity|Electricity|Solar,United States,236.9123
EPS-EI,IRA,GW,2025,bistline_ira_tall.csv,Capacity|Electricity|Storage Capacity,United States,14.3017
EPS-EI,IRA,GW,2025,bistline_ira_tall.csv,Capacity|Electricity|Wind,United States,233.058
EPS-EI,IRA,GW,2030,bistline_ira_tall.csv,Capacity|Electricity|Biomass|w/o CCS,United States,0.011
EPS-EI,IRA,GW,2030,bistline_ira_tall.csv,Capacity|Electricity|Coal|w/o CCS,United States,58.49
EPS-EI,IRA,GW,2030,bistline_ira_tall.csv,Capacity|Electricity|Gas|w/o CCS,United States,421.093
EPS-EI,IRA,GW,2030,bistline_ira_tall.csv,Capacity|Electricity|Hydro,United States,79.188
EPS-EI,IRA,GW,2030,bistline_ira_tall.csv,Capacity|Electricity|Nuclear,United States,99.119
EPS-EI,IRA,GW,2030,bistline_ira_tall.csv,Capacity|Electricity|Other,United States,26.605
EPS-EI,IRA,GW,2030,bistline_ira_tall.csv,Capacity|Electricity|Solar,United States,518.4021
EPS-EI,IRA,GW,2030,bistline_ira_tall.csv,Capacity|Electricity|Storage Capacity,United States,61.6227
EPS-EI,IRA,GW,2030,bistline_ira_tall.csv,Capacity|Electricity|Wind,United States,459.338
EPS-EI,IRA,GW,2035,bistline_ira_tall.csv,Capacity|Electricity|Biomass|w/o CCS,United States,0.011
EPS-EI,IRA,GW,2035,bistline_ira_tall.csv,Capacity|Electricity|Coal|w/o CCS,United States,6.942
EPS-EI,IRA,GW,2035,bistline_ira_tall.csv,Capacity|Electricity|Gas|w/o CCS,United States,477.685
EPS-EI,IRA,GW,2035,bistline_ira_tall.csv,Capacity|Electricity|Hydro,United States,78.668
EPS-EI,IRA,GW,2035,bistline_ira_tall.csv,Capacity|Electricity|Nuclear,United States,5.119
EPS-EI,IRA,GW,2035,bistline_ira_tall.csv,Capacity|Electricity|Other,United States,26.839
EPS-EI,IRA,GW,2035,bistline_ira_tall.csv,Capacity|Electricity|Solar,United States,793.678
EPS-EI,IRA,GW,2035,bistline_ira_tall.csv,Capacity|Electricity|Storage Capacity,United States,124.082
EPS-EI,IRA,GW,2035,bistline_ira_tall.csv,Capacity|Electricity|Wind,United States,723.848
EPS-EI,IRA,GW/yr,2035,bistline_ira_tall.csv,Capacity Additions|Electricity|Gas|w/o CCS|Average 2021-2035,United States,17.9288571428571
EPS-EI,IRA,GW/yr,2035,bistline_ira_tall.csv,Capacity Additions|Electricity|Hydro|Average 2021-2035,United States,0.0177857142857143
EPS-EI,IRA,GW/yr,2035,bistline_ira_tall.csv,Capacity Additions|Electricity|Nuclear|Average 2021-2035,United States,0.214285714285714
EPS-EI,IRA,GW/yr,2035,bistline_ira_tall.csv,Capacity Additions|Electricity|Other|Average 2021-2035,United States,0.0416428571428571
EPS-EI,IRA,GW/yr,2035,bistline_ira_tall.csv,Capacity Additions|Electricity|Solar|Average 2021-2035,United States,49.6007857142857
EPS-EI,IRA,GW/yr,2035,bistline_ira_tall.csv,Capacity Additions|Electricity|Storage Capacity|Average 2021-2035,United States,8.57957142857143
EPS-EI,IRA,GW/yr,2035,bistline_ira_tall.csv,Capacity Additions|Electricity|Wind|Average 2021-2035,United States,42.1664285714286
EPS-EI,IRA,GW/yr,2035,bistline_ira_tall.csv,Capacity Retirements|Electricity|Coal|w/o CCS|Average 2021-2035,United States,-14.7655714285714
EPS-EI,IRA,GW/yr,2035,bistline_ira_tall.csv,Capacity Retirements|Electricity|Gas|w/o CCS|Average 2021-2035,United States,-17.3904285714286
EPS-EI,IRA,GW/yr,2035,bistline_ira_tall.csv,Capacity Retirements|Electricity|Nuclear|Average 2021-2035,United States,-6.75
EPS-EI,IRA,Mt CO2/yr,2025,bistline_ira_tall.csv,Carbon Sequestration|CCS|Energy|Demand|Industry,United States,29.594995
EPS-EI,IRA,Mt CO2/yr,2025,bistline_ira_tall.csv,Carbon Sequestration|LULUCF,United States,-783.695
EPS-EI,IRA,Mt CO2/yr,2025,bistline_ira_tall.csv,Emissions|CO2,United States,4549.81011733888
EPS-EI,IRA,Mt CO2/yr,2025,bistline_ira_tall.csv,Emissions|CO2|Energy,United States,4159.18374439527
EPS-EI,IRA,Mt CO2/yr,2025,bistline_ira_tall.csv,Emissions|CO2|Energy|Demand|Buildings,United States,549.436
EPS-EI,IRA,Mt CO2/yr,2025,bistline_ira_tall.csv,Emissions|CO2|Energy|Demand|Buildings|Indirect,United States,836.795749895031
EPS-EI,IRA,Mt CO2/yr,2025,bistline_ira_tall.csv,Emissions|CO2|Energy|Demand|Industry and Fuel Production,United States,850.04476039527
EPS-EI,IRA,Mt CO2/yr,2025,bistline_ira_tall.csv,Emissions|CO2|Energy|Demand|Industry and Fuel Production|Indirect,United States,296.637096409922
EPS-EI,IRA,Mt CO2/yr,2025,bistline_ira_tall.csv,Emissions|CO2|Energy|Demand|Transportation,United States,1570.042984
EPS-EI,IRA,Mt CO2/yr,2025,bistline_ira_tall.csv,Emissions|CO2|Energy|Demand|Transportation|Indirect,United States,24.0019720046888
EPS-EI,IRA,Mt CO2/yr,2025,bistline_ira_tall.csv,Emissions|CO2|Energy|Supply|Electricity,United States,1189.66
EPS-EI,IRA,Mt CO2/yr,2025,bistline_ira_tall.csv,Emissions|CO2|Industrial Processes,United States,359.114121
EPS-EI,IRA,Mt CO2/yr,2025,bistline_ira_tall.csv,Emissions|CO2|Other,United States,31.512251943611
EPS-EI,IRA,Mt CO2/yr,2030,bistline_ira_tall.csv,Carbon Sequestration|CCS|Energy|Demand|Industry,United States,92.06339
EPS-EI,IRA,Mt CO2/yr,2030,bistline_ira_tall.csv,Carbon Sequestration|LULUCF,United States,-791.185
EPS-EI,IRA,Mt CO2/yr,2030,bistline_ira_tall.csv,Emissions|CO2,United States,3683.07333616727
EPS-EI,IRA,Mt CO2/yr,2030,bistline_ira_tall.csv,Emissions|CO2|Energy,United States,3311.2849500478
EPS-EI,IRA,Mt CO2/yr,2030,bistline_ira_tall.csv,Emissions|CO2|Energy|Demand|Buildings,United States,525.176
EPS-EI,IRA,Mt CO2/yr,2030,bistline_ira_tall.csv,Emissions|CO2|Energy|Demand|Buildings|Indirect,United States,394.008219686818
EPS-EI,IRA,Mt CO2/yr,2030,bistline_ira_tall.csv,Emissions|CO2|Energy|Demand|Industry and Fuel Production,United States,803.0638230478
EPS-EI,IRA,Mt CO2/yr,2030,bistline_ira_tall.csv,Emissions|CO2|Energy|Demand|Industry and Fuel Production|Indirect,United States,136.475237214488
EPS-EI,IRA,Mt CO2/yr,2030,bistline_ira_tall.csv,Emissions|CO2|Energy|Demand|Transportation,United States,1380.345127
EPS-EI,IRA,Mt CO2/yr,2030,bistline_ira_tall.csv,Emissions|CO2|Energy|Demand|Transportation|Indirect,United States,37.598724517081
EPS-EI,IRA,Mt CO2/yr,2030,bistline_ira_tall.csv,Emissions|CO2|Energy|Supply|Electricity,United States,602.7
EPS-EI,IRA,Mt CO2/yr,2030,bistline_ira_tall.csv,Emissions|CO2|Industrial Processes,United States,337.682422
EPS-EI,IRA,Mt CO2/yr,2030,bistline_ira_tall.csv,Emissions|CO2|Other,United States,34.1059641194713
EPS-EI,IRA,Mt CO2/yr,2035,bistline_ira_tall.csv,Carbon Sequestration|CCS|Energy|Demand|Industry,United States,231.95186
EPS-EI,IRA,Mt CO2/yr,2035,bistline_ira_tall.csv,Carbon Sequestration|LULUCF,United States,-758.351
EPS-EI,IRA,Mt CO2/yr,2035,bistline_ira_tall.csv,Emissions|CO2,United States,3181.23945999667
EPS-EI,IRA,Mt CO2/yr,2035,bistline_ira_tall.csv,Emissions|CO2|Energy,United States,2820.68622272733
EPS-EI,IRA,Mt CO2/yr,2035,bistline_ira_tall.csv,Emissions|CO2|Energy|Demand|Buildings,United States,511.954
EPS-EI,IRA,Mt CO2/yr,2035,bistline_ira_tall.csv,Emissions|CO2|Energy|Demand|Buildings|Indirect,United States,211.398579489139
EPS-EI,IRA,Mt CO2/yr,2035,bistline_ira_tall.csv,Emissions|CO2|Energy|Demand|Industry and Fuel Production,United States,777.01532772733
EPS-EI,IRA,Mt CO2/yr,2035,bistline_ira_tall.csv,Emissions|CO2|Energy|Demand|Industry and Fuel Production|Indirect,United States,72.9655588131667
EPS-EI,IRA,Mt CO2/yr,2035,bistline_ira_tall.csv,Emissions|CO2|Energy|Demand|Transportation,United States,1195.014895
EPS-EI,IRA,Mt CO2/yr,2035,bistline_ira_tall.csv,Emissions|CO2|Energy|Demand|Transportation|Indirect,United States,34.5201461900994
EPS-EI,IRA,Mt CO2/yr,2035,bistline_ira_tall.csv,Emissions|CO2|Energy|Supply|Electricity,United States,336.702
EPS-EI,IRA,Mt CO2/yr,2035,bistline_ira_tall.csv,Emissions|CO2|Industrial Processes,United States,264.973857
EPS-EI,IRA,Mt CO2/yr,2035,bistline_ira_tall.csv,Emissions|CO2|Other,United States,95.5793802693438
EPS-EI,IRA,Mt CO2/yr,2040,bistline_ira_tall.csv,Carbon Sequestration|CCS|Energy|Demand|Industry,United States,231.69372
EPS-EI,IRA,Mt CO2/yr,2040,bistline_ira_tall.csv,Carbon Sequestration|LULUCF,United States,-742.351
EPS-EI,IRA,Mt CO2/yr,2040,bistline_ira_tall.csv,Emissions|CO2,United States,3025.56230010726
EPS-EI,IRA,Mt CO2/yr,2040,bistline_ira_tall.csv,Emissions|CO2|Energy,United States,2644.993855373
EPS-EI,IRA,Mt CO2/yr,2040,bistline_ira_tall.csv,Emissions|CO2|Energy|Demand|Buildings,United States,512.601
EPS-EI,IRA,Mt CO2/yr,2040,bistline_ira_tall.csv,Emissions|CO2|Energy|Demand|Buildings|Indirect,United States,150.275161460103
EPS-EI,IRA,Mt CO2/yr,2040,bistline_ira_tall.csv,Emissions|CO2|Energy|Demand|Industry and Fuel Production,United States,798.255111373
EPS-EI,IRA,Mt CO2/yr,2040,bistline_ira_tall.csv,Emissions|CO2|Energy|Demand|Industry and Fuel Production|Indirect,United States,50.3954405660113
EPS-EI,IRA,Mt CO2/yr,2040,bistline_ira_tall.csv,Emissions|CO2|Energy|Demand|Transportation,United States,1091.650744
EPS-EI,IRA,Mt CO2/yr,2040,bistline_ira_tall.csv,Emissions|CO2|Energy|Demand|Transportation|Indirect,United States,29.9442640330685
EPS-EI,IRA,Mt CO2/yr,2040,bistline_ira_tall.csv,Emissions|CO2|Energy|Supply|Electricity,United States,242.487
EPS-EI,IRA,Mt CO2/yr,2040,bistline_ira_tall.csv,Emissions|CO2|Industrial Processes,United States,282.968431
EPS-EI,IRA,Mt CO2/yr,2040,bistline_ira_tall.csv,Emissions|CO2|Other,United States,97.6000137342569
EPS-EI,IRA,Mt CO2/yr,2045,bistline_ira_tall.csv,Carbon Sequestration|CCS|Energy|Demand|Industry,United States,233.37292
EPS-EI,IRA,Mt CO2/yr,2045,bistline_ira_tall.csv,Carbon Sequestration|LULUCF,United States,-725.351
EPS-EI,IRA,Mt CO2/yr,2045,bistline_ira_tall.csv,Emissions|CO2,United States,3088.89747661672
EPS-EI,IRA,Mt CO2/yr,2045,bistline_ira_tall.csv,Emissions|CO2|Energy,United States,2686.39653422365
EPS-EI,IRA,Mt CO2/yr,2045,bistline_ira_tall.csv,Emissions|CO2|Energy|Demand|Buildings,United States,513.65
EPS-EI,IRA,Mt CO2/yr,2045,bistline_ira_tall.csv,Emissions|CO2|Energy|Demand|Buildings|Indirect,United States,181.115898205528
EPS-EI,IRA,Mt CO2/yr,2045,bistline_ira_tall.csv,Emissions|CO2|Energy|Demand|Industry and Fuel Production,United States,819.92595222365
EPS-EI,IRA,Mt CO2/yr,2045,bistline_ira_tall.csv,Emissions|CO2|Energy|Demand|Industry and Fuel Production|Indirect,United States,58.6857731718016
EPS-EI,IRA,Mt CO2/yr,2045,bistline_ira_tall.csv,Emissions|CO2|Energy|Demand|Transportation,United States,1062.508582
EPS-EI,IRA,Mt CO2/yr,2045,bistline_ira_tall.csv,Emissions|CO2|Energy|Demand|Transportation|Indirect,United States,37.0259728211486
EPS-EI,IRA,Mt CO2/yr,2045,bistline_ira_tall.csv,Emissions|CO2|Energy|Supply|Electricity,United States,290.312
EPS-EI,IRA,Mt CO2/yr,2045,bistline_ira_tall.csv,Emissions|CO2|Industrial Processes,United States,303.730386
EPS-EI,IRA,Mt CO2/yr,2045,bistline_ira_tall.csv,Emissions|CO2|Other,United States,98.7705563930715
EPS-EI,IRA,Mt CO2/yr,2050,bistline_ira_tall.csv,Carbon Sequestration|CCS|Energy|Demand|Industry,United States,234.85301
EPS-EI,IRA,Mt CO2/yr,2050,bistline_ira_tall.csv,Carbon Sequestration|LULUCF,United States,-708.351
EPS-EI,IRA,Mt CO2/yr,2050,bistline_ira_tall.csv,Emissions|CO2,United States,3221.95884497962
EPS-EI,IRA,Mt CO2/yr,2050,bistline_ira_tall.csv,Emissions|CO2|Energy,United States,2799.0234154922
EPS-EI,IRA,Mt CO2/yr,2050,bistline_ira_tall.csv,Emissions|CO2|Energy|Demand|Buildings,United States,513.735
