model,scenario,variable,unit,2025,2030,2035
EPS-EI,IRA,Carbon Sequestration|LULUCF,Mt CO2/yr,-738.381925,-742.3270665,-708.38832
EPS-EI,IRA,Emissions|CH4,Mt CO2/yr,684.2283341,695.7968892,728.8069718
EPS-EI,IRA,Emissions|CO2,Mt CO2e/yr,4531.869153,3624.576274,3037.847988
EPS-EI,IRA,Emissions|CO2|Energy|Demand|Buildings|Total,Mt CO2/yr,1386.23175,919.1842197,723.3525795
EPS-EI,IRA,Emissions|CO2|Energy|Demand|Industry and Fuel Production|Total,Mt CO2/yr,1146.681857,939.5390603,849.9808865
EPS-EI,IRA,Emissions|CO2|Energy|Demand|Transportation|Total,Mt CO2/yr,1594.044956,1417.943852,1229.535041
EPS-EI,IRA,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,1189.76,601.405,333.702
EPS-EI,IRA,Emissions|F-gases|HFCs,Mt CO2e/yr,150,153,124
EPS-EI,IRA,Emissions|F-gases|NF3,Mt CO2e/yr,1,1,1
EPS-EI,IRA,Emissions|F-gases|PFCs,Mt CO2e/yr,5,5,5
EPS-EI,IRA,Emissions|F-gases|SF6,Mt CO2e/yr,5,4,4
EPS-EI,IRA,Emissions|GHG|Agriculture,Mt CO2e/yr,497.2560239,465.7605179,579.9633415
EPS-EI,IRA,Emissions|GHG|Energy,Mt CO2e/yr,2643.81472,2122.403096,1821.402839
EPS-EI,IRA,Emissions|GHG|Industrial Processes,Mt CO2e/yr,,,
EPS-EI,IRA,Emissions|GHG|Net,Mt CO2e/yr,,,
EPS-EI,IRA,Emissions|GHG|Total Gross,Mt CO2e/yr,,,
EPS-EI,IRA,Emissions|GHG|Transportation,Mt CO2e/yr,1578.59844,1349.688903,1081.742152
EPS-EI,IRA,Emissions|GHG|Waste,Mt CO2e/yr,190.325996,167.9948689,176.2728016
EPS-EI,IRA,Emissions|N2O,Mt CO2e/yr,342.1168153,360.4618954,397.0683979
GCAM-CGS,IRA,Carbon Sequestration|LULUCF,Mt CO2/yr,-754.9295962,-754.0458801,-751.717539
GCAM-CGS,IRA,Emissions|CH4,Mt CO2/yr,722.008,688.1168,688.1168
GCAM-CGS,IRA,Emissions|CO2,Mt CO2e/yr,4143.321331,3535.151217,3265.141577
GCAM-CGS,IRA,Emissions|CO2|Energy|Demand|Buildings|Total,Mt CO2/yr,1250.410354,924.9101101,752.9288417
GCAM-CGS,IRA.High,Emissions|CO2|Energy|Demand|Buildings|Total,Mt CO2/yr,497.5222945,450.3912101,436.996935
GCAM-CGS,IRA.Low,Emissions|CO2|Energy|Demand|Buildings|Total,Mt CO2/yr,500.6440753,455.1327314,447.9295724
GCAM-CGS,IRA,Emissions|CO2|Energy|Demand|Industry and Fuel Production|Total,Mt CO2/yr,1299.877112,1185.549759,1174.687987
GCAM-CGS,IRA.High,Emissions|CO2|Energy|Demand|Industry and Fuel Production|Total,Mt CO2/yr,1065.626805,1005.428315,1048.178175
GCAM-CGS,IRA.Low,Emissions|CO2|Energy|Demand|Industry and Fuel Production|Total,Mt CO2/yr,1073.645256,1016.656229,1067.936715
GCAM-CGS,IRA,Emissions|CO2|Energy|Demand|Transportation|Total,Mt CO2/yr,1562.077279,1396.930722,1310.872568
GCAM-CGS,IRA.High,Emissions|CO2|Energy|Demand|Transportation|Total,Mt CO2/yr,1537.211312,1350.02678,1270.237753
GCAM-CGS,IRA.Low,Emissions|CO2|Energy|Demand|Transportation|Total,Mt CO2/yr,1540.06192,1364.024887,1292.36442
GCAM-CGS,IRA,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,1001.239884,679.6590548,445.5802983
GCAM-CGS,IRA.High,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,962.4171432,594.2729955,437.1385189
GCAM-CGS,IRA.Low,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,1041.927462,763.1521786,445.8541138
GCAM-CGS,IRA,Emissions|F-gases|HFCs,Mt CO2e/yr,150,153,124
GCAM-CGS,IRA,Emissions|F-gases|NF3,Mt CO2e/yr,1,1,1
GCAM-CGS,IRA,Emissions|F-gases|PFCs,Mt CO2e/yr,5,5,5
GCAM-CGS,IRA,Emissions|F-gases|SF6,Mt CO2e/yr,5,4,4
GCAM-CGS,IRA,Emissions|GHG|Agriculture,Mt CO2e/yr,647.3085821,663.400751,685.5291171
GCAM-CGS,IRA,Emissions|GHG|Energy,Mt CO2e/yr,2919.43144,2456.591581,2260.534486
GCAM-CGS,IRA,Emissions|GHG|Industrial Processes,Mt CO2e/yr,160.1348969,129.5470181,129.6306364
GCAM-CGS,IRA,Emissions|GHG|Net,Mt CO2e/yr,4689.627142,4035.835723,3790.197957
GCAM-CGS,IRA,Emissions|GHG|Total Gross,Mt CO2e/yr,5444.556738,4789.881603,4541.915496
GCAM-CGS,IRA,Emissions|GHG|Transportation,Mt CO2e/yr,1538.616566,1357.179642,1282.967561
GCAM-CGS,IRA,Emissions|GHG|Waste,Mt CO2e/yr,179.5164533,183.4458107,183.536896
GCAM-CGS,IRA,Emissions|N2O,Mt CO2e/yr,439.7822166,457.6723285,479.7158614
GCAM-PNNL,IRA,Carbon Sequestration|LULUCF,Mt CO2/yr,,,
GCAM-PNNL,IRA,Emissions|CH4,Mt CO2e/yr,,,
GCAM-PNNL,IRA,Emissions|CO2,Mt CO2/yr,4150.868768,3631.819136,3310.10805
GCAM-PNNL,All Advanced,Emissions|CO2|Energy|Demand|Buildings|Total,Mt CO2/yr,1262.108811,1015.183713,944.9102878
