"","Model","Scenario","Region","Variable","Unit","year","value"
"1","GCAM 7.0","WM_072524","USA","Agricultural Demand","million t DM/yr",2005,670.2086383
"2","GCAM 7.0","WM_072524","USA","Agricultural Demand","million t DM/yr",2010,695.6386118
"3","GCAM 7.0","WM_072524","USA","Agricultural Demand","million t DM/yr",2015,797.8222888
"4","GCAM 7.0","WM_072524","USA","Agricultural Demand","million t DM/yr",2020,840.0437788
"5","GCAM 7.0","WM_072524","USA","Agricultural Demand","million t DM/yr",2025,867.610532
"6","GCAM 7.0","WM_072524","USA","Agricultural Demand","million t DM/yr",2030,885.2093938
"7","GCAM 7.0","WM_072524","USA","Agricultural Demand","million t DM/yr",2035,894.939154
"8","GCAM 7.0","WM_072524","USA","Agricultural Demand","million t DM/yr",2040,906.3950126
"9","GCAM 7.0","WM_072524","USA","Agricultural Demand","million t DM/yr",2045,940.1008241
"10","GCAM 7.0","WM_072524","USA","Agricultural Demand","million t DM/yr",2050,973.7192943
"11","GCAM 7.0","WM_072524","USA","Agricultural Demand|Crops","million t DM/yr",2005,653.3188241
"12","GCAM 7.0","WM_072524","USA","Agricultural Demand|Crops","million t DM/yr",2010,659.5568377
"13","GCAM 7.0","WM_072524","USA","Agricultural Demand|Crops","million t DM/yr",2015,745.7681888
"14","GCAM 7.0","WM_072524","USA","Agricultural Demand|Crops","million t DM/yr",2020,786.2699788
"15","GCAM 7.0","WM_072524","USA","Agricultural Demand|Crops","million t DM/yr",2025,812.718692
"16","GCAM 7.0","WM_072524","USA","Agricultural Demand|Crops","million t DM/yr",2030,828.8395538
"17","GCAM 7.0","WM_072524","USA","Agricultural Demand|Crops","million t DM/yr",2035,837.193274
"18","GCAM 7.0","WM_072524","USA","Agricultural Demand|Crops","million t DM/yr",2040,847.4839126
"19","GCAM 7.0","WM_072524","USA","Agricultural Demand|Crops","million t DM/yr",2045,880.1789641
"20","GCAM 7.0","WM_072524","USA","Agricultural Demand|Crops","million t DM/yr",2050,912.8643843
"21","GCAM 7.0","WM_072524","USA","Agricultural Demand|Crops|Energy","million t DM/yr",2005,38.20147
"22","GCAM 7.0","WM_072524","USA","Agricultural Demand|Crops|Energy","million t DM/yr",2010,110.52802
"23","GCAM 7.0","WM_072524","USA","Agricultural Demand|Crops|Energy","million t DM/yr",2015,183.5248
"24","GCAM 7.0","WM_072524","USA","Agricultural Demand|Crops|Energy","million t DM/yr",2020,197.802
"25","GCAM 7.0","WM_072524","USA","Agricultural Demand|Crops|Energy","million t DM/yr",2025,188.9277
"26","GCAM 7.0","WM_072524","USA","Agricultural Demand|Crops|Energy","million t DM/yr",2030,163.7001
"27","GCAM 7.0","WM_072524","USA","Agricultural Demand|Crops|Energy","million t DM/yr",2035,130.1839
"28","GCAM 7.0","WM_072524","USA","Agricultural Demand|Crops|Energy","million t DM/yr",2040,101.6875
"29","GCAM 7.0","WM_072524","USA","Agricultural Demand|Crops|Energy","million t DM/yr",2045,116.8784
"30","GCAM 7.0","WM_072524","USA","Agricultural Demand|Crops|Energy","million t DM/yr",2050,130.4732
"31","GCAM 7.0","WM_072524","USA","Agricultural Demand|Crops|Feed","million t DM/yr",2005,202.529072
