,Model,Scenario,Region,Variable,Unit,year,value
1,GCAM 7.0,WM_092524,USA,Agricultural Demand,million t DM/yr,2005,670.2086383
2,GCAM 7.0,WM_092524,USA,Agricultural Demand,million t DM/yr,2010,695.6386118
3,GCAM 7.0,WM_092524,USA,Agricultural Demand,million t DM/yr,2015,797.8222888
4,GCAM 7.0,WM_092524,USA,Agricultural Demand,million t DM/yr,2020,828.6362975
5,GCAM 7.0,WM_092524,USA,Agricultural Demand,million t DM/yr,2025,859.0382213
6,GCAM 7.0,WM_092524,USA,Agricultural Demand,million t DM/yr,2030,877.2100027
7,GCAM 7.0,WM_092524,USA,Agricultural Demand,million t DM/yr,2035,889.0348006
8,GCAM 7.0,WM_092524,USA,Agricultural Demand,million t DM/yr,2040,903.7358609
9,GCAM 7.0,WM_092524,USA,Agricultural Demand,million t DM/yr,2045,944.6519652
10,GCAM 7.0,WM_092524,USA,Agricultural Demand,million t DM/yr,2050,984.8321489
11,GCAM 7.0,WM_092524,USA,Agricultural Demand|Crops,million t DM/yr,2005,653.3188241
12,GCAM 7.0,WM_092524,USA,Agricultural Demand|Crops,million t DM/yr,2010,659.5568377
13,GCAM 7.0,WM_092524,USA,Agricultural Demand|Crops,million t DM/yr,2015,745.7681888
14,GCAM 7.0,WM_092524,USA,Agricultural Demand|Crops,million t DM/yr,2020,774.8028175
15,GCAM 7.0,WM_092524,USA,Agricultural Demand|Crops,million t DM/yr,2025,804.0663013
16,GCAM 7.0,WM_092524,USA,Agricultural Demand|Crops,million t DM/yr,2030,820.7583727
17,GCAM 7.0,WM_092524,USA,Agricultural Demand|Crops,million t DM/yr,2035,831.1844706
18,GCAM 7.0,WM_092524,USA,Agricultural Demand|Crops,million t DM/yr,2040,844.6628009
19,GCAM 7.0,WM_092524,USA,Agricultural Demand|Crops,million t DM/yr,2045,884.4966652
20,GCAM 7.0,WM_092524,USA,Agricultural Demand|Crops,million t DM/yr,2050,923.6629789
21,GCAM 7.0,WM_092524,USA,Agricultural Demand|Crops|Energy,million t DM/yr,2005,38.20147
