model,scenario,region,variable,unit,year,value
GCAM,WM,USA,Emissions|CO2|Energy|Demand|Buildings,Mt CO2/yr,2025,447.727126894
GCAM,WM,USA,Emissions|CO2|Energy|Demand|Buildings,Mt CO2/yr,2030,439.496705329
GCAM,WM,USA,Emissions|CO2|Energy|Demand|Buildings,Mt CO2/yr,2035,428.907422168
GCAM,WM,USA,Emissions|CO2|Energy|Demand|Buildings,Mt CO2/yr,2040,432.560842893
GCAM,WM,USA,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,2025,667.831122566
GCAM,WM,USA,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,2030,674.058849087
GCAM,WM,USA,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,2035,666.421105857
GCAM,WM,USA,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,2040,674.946898227
GCAM,WM,USA,Emissions|CO2|Energy|Demand|Transportation,Mt CO2/yr,2025,1774.382442085
GCAM,WM,USA,Emissions|CO2|Energy|Demand|Transportation,Mt CO2/yr,2030,1514.535180349
GCAM,WM,USA,Emissions|CO2|Energy|Demand|Transportation,Mt CO2/yr,2035,1201.761409665
GCAM,WM,USA,Emissions|CO2|Energy|Demand|Transportation,Mt CO2/yr,2040,1038.548769039
GCAM,WM,USA,Emissions|CO2|Energy|Supply,Mt CO2/yr,2025,1483.221365751
GCAM,WM,USA,Emissions|CO2|Energy|Supply,Mt CO2/yr,2030,1340.053001907
GCAM,WM,USA,Emissions|CO2|Energy|Supply,Mt CO2/yr,2035,1279.500161024
GCAM,WM,USA,Emissions|CO2|Energy|Supply,Mt CO2/yr,2040,1326.7673204769999
GCAM,WOM,USA,Emissions|CO2|Energy|Demand|Buildings,Mt CO2/yr,2025,456.126945704
GCAM,WOM,USA,Emissions|CO2|Energy|Demand|Buildings,Mt CO2/yr,2030,450.519854283
GCAM,WOM,USA,Emissions|CO2|Energy|Demand|Buildings,Mt CO2/yr,2035,440.865151668
GCAM,WOM,USA,Emissions|CO2|Energy|Demand|Buildings,Mt CO2/yr,2040,436.135812992
GCAM,WOM,USA,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,2025,653.666106206
GCAM,WOM,USA,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,2030,665.604952758
GCAM,WOM,USA,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,2035,663.498215124
GCAM,WOM,USA,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,2040,658.0332497740001
GCAM,WOM,USA,Emissions|CO2|Energy|Demand|Transportation,Mt CO2/yr,2025,1811.008970793
GCAM,WOM,USA,Emissions|CO2|Energy|Demand|Transportation,Mt CO2/yr,2030,1646.82774122
GCAM,WOM,USA,Emissions|CO2|Energy|Demand|Transportation,Mt CO2/yr,2035,1387.696180155
GCAM,WOM,USA,Emissions|CO2|Energy|Demand|Transportation,Mt CO2/yr,2040,1194.125448583
GCAM,WOM,USA,Emissions|CO2|Energy|Supply,Mt CO2/yr,2025,1502.879608093
GCAM,WOM,USA,Emissions|CO2|Energy|Supply,Mt CO2/yr,2030,1338.61109653
GCAM,WOM,USA,Emissions|CO2|Energy|Supply,Mt CO2/yr,2035,1333.972615467455
GCAM,WOM,USA,Emissions|CO2|Energy|Supply,Mt CO2/yr,2040,1414.8925995233901
GCAM,WM,USA,Emissions|CO2|Energy,Mt CO2/yr,2025,4373.162057296
GCAM,WM,USA,Emissions|CO2|Energy,Mt CO2/yr,2030,3968.143736672
GCAM,WM,USA,Emissions|CO2|Energy,Mt CO2/yr,2035,3576.590098714
GCAM,WM,USA,Emissions|CO2|Energy,Mt CO2/yr,2040,3472.823830636
GCAM,WOM,USA,Emissions|CO2|Energy,Mt CO2/yr,2025,4423.681630796
GCAM,WOM,USA,Emissions|CO2|Energy,Mt CO2/yr,2030,4101.563644791
GCAM,WOM,USA,Emissions|CO2|Energy,Mt CO2/yr,2035,3826.032162414455
GCAM,WOM,USA,Emissions|CO2|Energy,Mt CO2/yr,2040,3703.1871108723903
