Model,Scenario,Region,Variable,Unit,Year,Value
USREP-ReEDS,btr1_ref,FL,Carbon Sequestration|CCS|Fossil|Energy|Supply|Electricity,Mt CO2/yr,2030,2.02E-34
USREP-ReEDS,btr1_ref,FL,Carbon Sequestration|CCS|Fossil|Energy|Supply|Electricity,Mt CO2/yr,2040,-9.66E-18
USREP-ReEDS,btr1_ref,FL,Emissions|CO2|Energy|Supply|Electricity|Coal,Mt CO2/yr,2020,3.058301425
USREP-ReEDS,btr1_ref,FL,Emissions|CO2|Energy|Supply|Electricity|Coal,Mt CO2/yr,2025,26.3906156
USREP-ReEDS,btr1_ref,FL,Emissions|CO2|Energy|Supply|Electricity|Coal,Mt CO2/yr,2030,2.185014225
USREP-ReEDS,btr1_ref,FL,Emissions|CO2|Energy|Supply|Electricity|Coal,Mt CO2/yr,2035,2.563282914
USREP-ReEDS,btr1_ref,FL,Emissions|CO2|Energy|Supply|Electricity|Coal,Mt CO2/yr,2040,2.563282914
USREP-ReEDS,btr1_ref,FL,Emissions|CO2|Energy|Supply|Electricity|Gas,Mt CO2/yr,2020,75.84727698
USREP-ReEDS,btr1_ref,FL,Emissions|CO2|Energy|Supply|Electricity|Gas,Mt CO2/yr,2025,55.22482494
USREP-ReEDS,btr1_ref,FL,Emissions|CO2|Energy|Supply|Electricity|Gas,Mt CO2/yr,2030,63.7583499
USREP-ReEDS,btr1_ref,FL,Emissions|CO2|Energy|Supply|Electricity|Gas,Mt CO2/yr,2035,61.22079376
USREP-ReEDS,btr1_ref,FL,Emissions|CO2|Energy|Supply|Electricity|Gas,Mt CO2/yr,2040,65.1544448
USREP-ReEDS,btr1_ref,FL,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2020,78.9055784
USREP-ReEDS,btr1_ref,FL,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2025,81.61544054
USREP-ReEDS,btr1_ref,FL,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2030,65.94336413
USREP-ReEDS,btr1_ref,FL,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2035,63.78407667
USREP-ReEDS,btr1_ref,FL,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2040,67.71772772
USREP-ReEDS,btr1_ref,FL,Emissions|CO2,Mt CO2/yr,2017,125.4478172
USREP-ReEDS,btr1_ref,FL,Emissions|CO2,Mt CO2/yr,2020,225.5290496
USREP-ReEDS,btr1_ref,FL,Emissions|CO2,Mt CO2/yr,2025,181.1142749
USREP-ReEDS,btr1_ref,FL,Emissions|CO2,Mt CO2/yr,2030,151.6160844
USREP-ReEDS,btr1_ref,FL,Emissions|CO2,Mt CO2/yr,2035,141.7935589
USREP-ReEDS,btr1_ref,FL,Emissions|CO2,Mt CO2/yr,2040,139.5390439
USREP-ReEDS,btr1_ref,FL,Carbon Sequestration|CCS|Fossil|Energy|Demand|Industry,Mt CO2/yr,2017,0
USREP-ReEDS,btr1_ref,FL,Carbon Sequestration|CCS|Fossil|Energy|Demand|Industry,Mt CO2/yr,2020,0
USREP-ReEDS,btr1_ref,FL,Carbon Sequestration|CCS|Fossil|Energy|Demand|Industry,Mt CO2/yr,2025,0
USREP-ReEDS,btr1_ref,FL,Carbon Sequestration|CCS|Fossil|Energy|Demand|Industry,Mt CO2/yr,2030,0
USREP-ReEDS,btr1_ref,FL,Carbon Sequestration|CCS|Fossil|Energy|Demand|Industry,Mt CO2/yr,2035,0
USREP-ReEDS,btr1_ref,FL,Carbon Sequestration|CCS|Fossil|Energy|Demand|Industry,Mt CO2/yr,2040,0
USREP-ReEDS,btr1_ref,FL,Emissions|CO2|Energy,Mt CO2/yr,2017,125.4478172
USREP-ReEDS,btr1_ref,FL,Emissions|CO2|Energy,Mt CO2/yr,2020,190.1034691
USREP-ReEDS,btr1_ref,FL,Emissions|CO2|Energy,Mt CO2/yr,2025,181.1142749
USREP-ReEDS,btr1_ref,FL,Emissions|CO2|Energy,Mt CO2/yr,2030,151.6160844
USREP-ReEDS,btr1_ref,FL,Emissions|CO2|Energy,Mt CO2/yr,2035,141.7935589
USREP-ReEDS,btr1_ref,FL,Emissions|CO2|Energy,Mt CO2/yr,2040,139.5390439
USREP-ReEDS,btr1_ref,FL,Emissions|CO2|Energy|Coal,Mt CO2/yr,2017,1.378766641
USREP-ReEDS,btr1_ref,FL,Emissions|CO2|Energy|Coal,Mt CO2/yr,2020,4.340647934
