proj_name,usproj_scen,ffc_model,ffc_scen,lulucf_model,lulucf_scen,grouping
gcam_ira_highseq,wm,GCAM,leep_IRA,lulucf,bau_high,IRA
gcam_ira_lowseq,wm,GCAM,leep_IRA,lulucf,bau_low,IRA
nems_ira_highseq,wm,OP-NEMS,leep_IRA,lulucf,bau_high,IRA
nems_ira_lowseq,wm,OP-NEMS,leep_IRA,lulucf,bau_low,IRA
usrr_ira_highseq,wm,USREP-ReEDS,leep_IRA,lulucf,bau_high,IRA
usrr_ira_lowseq,wm,USREP-ReEDS,leep_IRA,lulucf,bau_low,IRA
gcam_wm_hiseq,wm,GCAM,wm,lulucf,bau_high,wm_oldlulucf
gcam_wm_lowseq,wm,GCAM,wm,lulucf,bau_low,wm_oldlulucf
nems_wm_hiseq,wm,OP-NEMS,wm,lulucf,bau_high,wm_oldlulucf
nems_wm_lowseq,wm,OP-NEMS,wm,lulucf,bau_low,wm_oldlulucf
usrr_wm_hiseq,wm,USREP-ReEDS,wm,lulucf,bau_high,wm_oldlulucf
usrr_wm_lowseq,wm,USREP-ReEDS,wm,lulucf,bau_low,wm_oldlulucf
gcam_wm_nfs,wm,GCAM,wm,lulucf_nfs,wm,wm
nems_wm_nfs,wm,OP-NEMS,wm,lulucf_nfs,wm,wm
usrr_wm_nfs,wm,USREP-ReEDS,wm,lulucf_nfs,wm,wm
