Model,Scenario,Region,Variable,Unit,year,value
GCAM 7.0,WM_062624,USA,Agricultural Demand,million t DM/yr,2005,670.2086383
GCAM 7.0,WM_062624,USA,Agricultural Demand,million t DM/yr,2010,695.6386118
GCAM 7.0,WM_062624,USA,Agricultural Demand,million t DM/yr,2015,797.8222888
GCAM 7.0,WM_062624,USA,Agricultural Demand,million t DM/yr,2020,839.9781867
GCAM 7.0,WM_062624,USA,Agricultural Demand,million t DM/yr,2025,867.4033177
GCAM 7.0,WM_062624,USA,Agricultural Demand,million t DM/yr,2030,883.4195445
GCAM 7.0,WM_062624,USA,Agricultural Demand,million t DM/yr,2035,891.7246256
GCAM 7.0,WM_062624,USA,Agricultural Demand,million t DM/yr,2040,904.4504994
GCAM 7.0,WM_062624,USA,Agricultural Demand,million t DM/yr,2045,935.5517715
GCAM 7.0,WM_062624,USA,Agricultural Demand,million t DM/yr,2050,968.6416024
GCAM 7.0,WM_062624,USA,Agricultural Demand|Crops,million t DM/yr,2005,653.3188241
GCAM 7.0,WM_062624,USA,Agricultural Demand|Crops,million t DM/yr,2010,659.5568377
GCAM 7.0,WM_062624,USA,Agricultural Demand|Crops,million t DM/yr,2015,745.7681888
GCAM 7.0,WM_062624,USA,Agricultural Demand|Crops,million t DM/yr,2020,786.2043767
GCAM 7.0,WM_062624,USA,Agricultural Demand|Crops,million t DM/yr,2025,812.5114877
GCAM 7.0,WM_062624,USA,Agricultural Demand|Crops,million t DM/yr,2030,827.0497045
GCAM 7.0,WM_062624,USA,Agricultural Demand|Crops,million t DM/yr,2035,833.9786656
GCAM 7.0,WM_062624,USA,Agricultural Demand|Crops,million t DM/yr,2040,845.5392994
GCAM 7.0,WM_062624,USA,Agricultural Demand|Crops,million t DM/yr,2045,875.6297715
GCAM 7.0,WM_062624,USA,Agricultural Demand|Crops,million t DM/yr,2050,907.7864724
GCAM 7.0,WM_062624,USA,Agricultural Demand|Crops|Energy,million t DM/yr,2005,38.20147
GCAM 7.0,WM_062624,USA,Agricultural Demand|Crops|Energy,million t DM/yr,2010,110.52802
GCAM 7.0,WM_062624,USA,Agricultural Demand|Crops|Energy,million t DM/yr,2015,183.5248
GCAM 7.0,WM_062624,USA,Agricultural Demand|Crops|Energy,million t DM/yr,2020,197.7038
GCAM 7.0,WM_062624,USA,Agricultural Demand|Crops|Energy,million t DM/yr,2025,188.6565
GCAM 7.0,WM_062624,USA,Agricultural Demand|Crops|Energy,million t DM/yr,2030,161.0409
GCAM 7.0,WM_062624,USA,Agricultural Demand|Crops|Energy,million t DM/yr,2035,125.0643
GCAM 7.0,WM_062624,USA,Agricultural Demand|Crops|Energy,million t DM/yr,2040,98.2253
GCAM 7.0,WM_062624,USA,Agricultural Demand|Crops|Energy,million t DM/yr,2045,109.289
GCAM 7.0,WM_062624,USA,Agricultural Demand|Crops|Energy,million t DM/yr,2050,122.3749
GCAM 7.0,WM_062624,USA,Agricultural Demand|Crops|Feed,million t DM/yr,2005,202.529072
GCAM 7.0,WM_062624,USA,Agricultural Demand|Crops|Feed,million t DM/yr,2010,184.2876591
GCAM 7.0,WM_062624,USA,Agricultural Demand|Crops|Feed,million t DM/yr,2015,184.4686693
GCAM 7.0,WM_062624,USA,Agricultural Demand|Crops|Feed,million t DM/yr,2020,195.0974638
GCAM 7.0,WM_062624,USA,Agricultural Demand|Crops|Feed,million t DM/yr,2025,220.080065
GCAM 7.0,WM_062624,USA,Agricultural Demand|Crops|Feed,million t DM/yr,2030,248.8362623
GCAM 7.0,WM_062624,USA,Agricultural Demand|Crops|Feed,million t DM/yr,2035,279.5329926
GCAM 7.0,WM_062624,USA,Agricultural Demand|Crops|Feed,million t DM/yr,2040,307.453168
GCAM 7.0,WM_062624,USA,Agricultural Demand|Crops|Feed,million t DM/yr,2045,317.3736402
GCAM 7.0,WM_062624,USA,Agricultural Demand|Crops|Feed,million t DM/yr,2050,328.1884954
GCAM 7.0,WM_062624,USA,Agricultural Demand|Crops|Food,million t DM/yr,2005,278.900362
GCAM 7.0,WM_062624,USA,Agricultural Demand|Crops|Food,million t DM/yr,2010,283.7466666
GCAM 7.0,WM_062624,USA,Agricultural Demand|Crops|Food,million t DM/yr,2015,299.6669785
GCAM 7.0,WM_062624,USA,Agricultural Demand|Crops|Food,million t DM/yr,2020,312.9147239
GCAM 7.0,WM_062624,USA,Agricultural Demand|Crops|Food,million t DM/yr,2025,321.7535817
GCAM 7.0,WM_062624,USA,Agricultural Demand|Crops|Food,million t DM/yr,2030,333.1034502
GCAM 7.0,WM_062624,USA,Agricultural Demand|Crops|Food,million t DM/yr,2035,343.388704
GCAM 7.0,WM_062624,USA,Agricultural Demand|Crops|Food,million t DM/yr,2040,352.2481544
GCAM 7.0,WM_062624,USA,Agricultural Demand|Crops|Food,million t DM/yr,2045,359.9503343
GCAM 7.0,WM_062624,USA,Agricultural Demand|Crops|Food,million t DM/yr,2050,366.900611
GCAM 7.0,WM_062624,USA,Agricultural Demand|Crops|Other,million t DM/yr,2005,133.6879201
GCAM 7.0,WM_062624,USA,Agricultural Demand|Crops|Other,million t DM/yr,2010,80.994492
GCAM 7.0,WM_062624,USA,Agricultural Demand|Crops|Other,million t DM/yr,2015,78.107741
GCAM 7.0,WM_062624,USA,Agricultural Demand|Crops|Other,million t DM/yr,2020,80.488389
GCAM 7.0,WM_062624,USA,Agricultural Demand|Crops|Other,million t DM/yr,2025,82.021341
GCAM 7.0,WM_062624,USA,Agricultural Demand|Crops|Other,million t DM/yr,2030,84.069092
GCAM 7.0,WM_062624,USA,Agricultural Demand|Crops|Other,million t DM/yr,2035,85.992669
GCAM 7.0,WM_062624,USA,Agricultural Demand|Crops|Other,million t DM/yr,2040,87.612677
GCAM 7.0,WM_062624,USA,Agricultural Demand|Crops|Other,million t DM/yr,2045,89.016797
GCAM 7.0,WM_062624,USA,Agricultural Demand|Crops|Other,million t DM/yr,2050,90.322466
GCAM 7.0,WM_062624,USA,Agricultural Demand|Livestock,million t DM/yr,2005,16.8898142
GCAM 7.0,WM_062624,USA,Agricultural Demand|Livestock,million t DM/yr,2010,36.0817741
GCAM 7.0,WM_062624,USA,Agricultural Demand|Livestock,million t DM/yr,2015,52.0541
GCAM 7.0,WM_062624,USA,Agricultural Demand|Livestock,million t DM/yr,2020,53.77381
GCAM 7.0,WM_062624,USA,Agricultural Demand|Livestock,million t DM/yr,2025,54.89183
GCAM 7.0,WM_062624,USA,Agricultural Demand|Livestock,million t DM/yr,2030,56.36984
GCAM 7.0,WM_062624,USA,Agricultural Demand|Livestock,million t DM/yr,2035,57.74596
GCAM 7.0,WM_062624,USA,Agricultural Demand|Livestock,million t DM/yr,2040,58.9112
GCAM 7.0,WM_062624,USA,Agricultural Demand|Livestock,million t DM/yr,2045,59.922
GCAM 7.0,WM_062624,USA,Agricultural Demand|Livestock,million t DM/yr,2050,60.85513
GCAM 7.0,WM_062624,USA,Agricultural Demand|Livestock|Food,million t DM/yr,2005,6.97731
GCAM 7.0,WM_062624,USA,Agricultural Demand|Livestock|Food,million t DM/yr,2010,6.99253
GCAM 7.0,WM_062624,USA,Agricultural Demand|Livestock|Food,million t DM/yr,2015,7.81354
GCAM 7.0,WM_062624,USA,Agricultural Demand|Livestock|Food,million t DM/yr,2020,8.18479
GCAM 7.0,WM_062624,USA,Agricultural Demand|Livestock|Food,million t DM/yr,2025,8.43458
GCAM 7.0,WM_062624,USA,Agricultural Demand|Livestock|Food,million t DM/yr,2030,8.75267
GCAM 7.0,WM_062624,USA,Agricultural Demand|Livestock|Food,million t DM/yr,2035,9.03924
GCAM 7.0,WM_062624,USA,Agricultural Demand|Livestock|Food,million t DM/yr,2040,9.28693
GCAM 7.0,WM_062624,USA,Agricultural Demand|Livestock|Food,million t DM/yr,2045,9.50244
GCAM 7.0,WM_062624,USA,Agricultural Demand|Livestock|Food,million t DM/yr,2050,9.69605
GCAM 7.0,WM_062624,USA,Agricultural Demand|Livestock|Other,million t DM/yr,2005,9.9125042
GCAM 7.0,WM_062624,USA,Agricultural Demand|Livestock|Other,million t DM/yr,2010,29.0892441
GCAM 7.0,WM_062624,USA,Agricultural Demand|Livestock|Other,million t DM/yr,2015,44.24056
GCAM 7.0,WM_062624,USA,Agricultural Demand|Livestock|Other,million t DM/yr,2020,45.58902
GCAM 7.0,WM_062624,USA,Agricultural Demand|Livestock|Other,million t DM/yr,2025,46.45725
GCAM 7.0,WM_062624,USA,Agricultural Demand|Livestock|Other,million t DM/yr,2030,47.61717
GCAM 7.0,WM_062624,USA,Agricultural Demand|Livestock|Other,million t DM/yr,2035,48.70672
GCAM 7.0,WM_062624,USA,Agricultural Demand|Livestock|Other,million t DM/yr,2040,49.62427
GCAM 7.0,WM_062624,USA,Agricultural Demand|Livestock|Other,million t DM/yr,2045,50.41956
GCAM 7.0,WM_062624,USA,Agricultural Demand|Livestock|Other,million t DM/yr,2050,51.15908
GCAM 7.0,WM_062624,USA,Agricultural Production,million t DM/yr,2005,1029.010931
GCAM 7.0,WM_062624,USA,Agricultural Production,million t DM/yr,2010,1033.046198
GCAM 7.0,WM_062624,USA,Agricultural Production,million t DM/yr,2015,1111.239692
GCAM 7.0,WM_062624,USA,Agricultural Production,million t DM/yr,2020,1195.185585
GCAM 7.0,WM_062624,USA,Agricultural Production,million t DM/yr,2025,1410.459054
GCAM 7.0,WM_062624,USA,Agricultural Production,million t DM/yr,2030,1539.458417
GCAM 7.0,WM_062624,USA,Agricultural Production,million t DM/yr,2035,1655.663107
GCAM 7.0,WM_062624,USA,Agricultural Production,million t DM/yr,2040,1772.230049
GCAM 7.0,WM_062624,USA,Agricultural Production,million t DM/yr,2045,1903.106131
GCAM 7.0,WM_062624,USA,Agricultural Production,million t DM/yr,2050,2050.964017
GCAM 7.0,WM_062624,USA,Capacity Additions|Electricity,GW/yr,2020,129.83
GCAM 7.0,WM_062624,USA,Capacity Additions|Electricity,GW/yr,2025,131.17
GCAM 7.0,WM_062624,USA,Capacity Additions|Electricity,GW/yr,2030,139.91
GCAM 7.0,WM_062624,USA,Capacity Additions|Electricity,GW/yr,2035,100.38
GCAM 7.0,WM_062624,USA,Capacity Additions|Electricity,GW/yr,2040,98.9
GCAM 7.0,WM_062624,USA,Capacity Additions|Electricity,GW/yr,2045,123.82
GCAM 7.0,WM_062624,USA,Capacity Additions|Electricity,GW/yr,2050,155.83
GCAM 7.0,WM_062624,USA,Capacity Additions|Electricity|Biomass,GW/yr,2020,0.55
GCAM 7.0,WM_062624,USA,Capacity Additions|Electricity|Biomass,GW/yr,2025,0.21
GCAM 7.0,WM_062624,USA,Capacity Additions|Electricity|Biomass,GW/yr,2030,0.3
GCAM 7.0,WM_062624,USA,Capacity Additions|Electricity|Biomass,GW/yr,2035,0.41
GCAM 7.0,WM_062624,USA,Capacity Additions|Electricity|Biomass,GW/yr,2040,0.6
GCAM 7.0,WM_062624,USA,Capacity Additions|Electricity|Biomass,GW/yr,2045,0.79
GCAM 7.0,WM_062624,USA,Capacity Additions|Electricity|Biomass,GW/yr,2050,1.08
GCAM 7.0,WM_062624,USA,Capacity Additions|Electricity|Biomass|w/ CCS,GW/yr,2025,0
GCAM 7.0,WM_062624,USA,Capacity Additions|Electricity|Biomass|w/ CCS,GW/yr,2030,0.03
GCAM 7.0,WM_062624,USA,Capacity Additions|Electricity|Biomass|w/ CCS,GW/yr,2035,0.03
GCAM 7.0,WM_062624,USA,Capacity Additions|Electricity|Biomass|w/ CCS,GW/yr,2040,0.05
GCAM 7.0,WM_062624,USA,Capacity Additions|Electricity|Biomass|w/ CCS,GW/yr,2045,0.03
GCAM 7.0,WM_062624,USA,Capacity Additions|Electricity|Biomass|w/ CCS,GW/yr,2050,0.04
GCAM 7.0,WM_062624,USA,Capacity Additions|Electricity|Biomass|w/o CCS,GW/yr,2020,0.55
GCAM 7.0,WM_062624,USA,Capacity Additions|Electricity|Biomass|w/o CCS,GW/yr,2025,0.21
GCAM 7.0,WM_062624,USA,Capacity Additions|Electricity|Biomass|w/o CCS,GW/yr,2030,0.27
GCAM 7.0,WM_062624,USA,Capacity Additions|Electricity|Biomass|w/o CCS,GW/yr,2035,0.37
GCAM 7.0,WM_062624,USA,Capacity Additions|Electricity|Biomass|w/o CCS,GW/yr,2040,0.55
GCAM 7.0,WM_062624,USA,Capacity Additions|Electricity|Biomass|w/o CCS,GW/yr,2045,0.76
GCAM 7.0,WM_062624,USA,Capacity Additions|Electricity|Biomass|w/o CCS,GW/yr,2050,1.03
GCAM 7.0,WM_062624,USA,Capacity Additions|Electricity|Coal,GW/yr,2020,20.69
GCAM 7.0,WM_062624,USA,Capacity Additions|Electricity|Coal,GW/yr,2025,15.87
GCAM 7.0,WM_062624,USA,Capacity Additions|Electricity|Coal,GW/yr,2030,13.67
GCAM 7.0,WM_062624,USA,Capacity Additions|Electricity|Coal,GW/yr,2035,13.71
GCAM 7.0,WM_062624,USA,Capacity Additions|Electricity|Coal,GW/yr,2040,13.41
GCAM 7.0,WM_062624,USA,Capacity Additions|Electricity|Coal,GW/yr,2045,14.9
GCAM 7.0,WM_062624,USA,Capacity Additions|Electricity|Coal,GW/yr,2050,18.43
GCAM 7.0,WM_062624,USA,Capacity Additions|Electricity|Coal|w/ CCS,GW/yr,2025,0.41
GCAM 7.0,WM_062624,USA,Capacity Additions|Electricity|Coal|w/ CCS,GW/yr,2030,2.79
GCAM 7.0,WM_062624,USA,Capacity Additions|Electricity|Coal|w/ CCS,GW/yr,2035,4.23
GCAM 7.0,WM_062624,USA,Capacity Additions|Electricity|Coal|w/ CCS,GW/yr,2040,5.85
GCAM 7.0,WM_062624,USA,Capacity Additions|Electricity|Coal|w/ CCS,GW/yr,2045,7.86
GCAM 7.0,WM_062624,USA,Capacity Additions|Electricity|Coal|w/ CCS,GW/yr,2050,11.51
GCAM 7.0,WM_062624,USA,Capacity Additions|Electricity|Coal|w/o CCS,GW/yr,2020,20.69
GCAM 7.0,WM_062624,USA,Capacity Additions|Electricity|Coal|w/o CCS,GW/yr,2025,15.46
GCAM 7.0,WM_062624,USA,Capacity Additions|Electricity|Coal|w/o CCS,GW/yr,2030,10.88
GCAM 7.0,WM_062624,USA,Capacity Additions|Electricity|Coal|w/o CCS,GW/yr,2035,9.47
GCAM 7.0,WM_062624,USA,Capacity Additions|Electricity|Coal|w/o CCS,GW/yr,2040,7.56
GCAM 7.0,WM_062624,USA,Capacity Additions|Electricity|Coal|w/o CCS,GW/yr,2045,7.05
GCAM 7.0,WM_062624,USA,Capacity Additions|Electricity|Coal|w/o CCS,GW/yr,2050,6.92
GCAM 7.0,WM_062624,USA,Capacity Additions|Electricity|Gas,GW/yr,2020,44.71
GCAM 7.0,WM_062624,USA,Capacity Additions|Electricity|Gas,GW/yr,2025,40.08
GCAM 7.0,WM_062624,USA,Capacity Additions|Electricity|Gas,GW/yr,2030,38.53
GCAM 7.0,WM_062624,USA,Capacity Additions|Electricity|Gas,GW/yr,2035,38.19
GCAM 7.0,WM_062624,USA,Capacity Additions|Electricity|Gas,GW/yr,2040,34.75
GCAM 7.0,WM_062624,USA,Capacity Additions|Electricity|Gas,GW/yr,2045,31.85
GCAM 7.0,WM_062624,USA,Capacity Additions|Electricity|Gas,GW/yr,2050,30.24
GCAM 7.0,WM_062624,USA,Capacity Additions|Electricity|Gas|CC,GW/yr,2020,32.96
GCAM 7.0,WM_062624,USA,Capacity Additions|Electricity|Gas|CC,GW/yr,2025,31.43
GCAM 7.0,WM_062624,USA,Capacity Additions|Electricity|Gas|CC,GW/yr,2030,30.44
GCAM 7.0,WM_062624,USA,Capacity Additions|Electricity|Gas|CC,GW/yr,2035,29.86
GCAM 7.0,WM_062624,USA,Capacity Additions|Electricity|Gas|CC,GW/yr,2040,27.63
GCAM 7.0,WM_062624,USA,Capacity Additions|Electricity|Gas|CC,GW/yr,2045,25.54
GCAM 7.0,WM_062624,USA,Capacity Additions|Electricity|Gas|CC,GW/yr,2050,24.33
GCAM 7.0,WM_062624,USA,Capacity Additions|Electricity|Gas|CC|w/ CCS,GW/yr,2025,0.04
GCAM 7.0,WM_062624,USA,Capacity Additions|Electricity|Gas|CC|w/ CCS,GW/yr,2030,0.5
GCAM 7.0,WM_062624,USA,Capacity Additions|Electricity|Gas|CC|w/ CCS,GW/yr,2035,0.93
GCAM 7.0,WM_062624,USA,Capacity Additions|Electricity|Gas|CC|w/ CCS,GW/yr,2040,1.38
GCAM 7.0,WM_062624,USA,Capacity Additions|Electricity|Gas|CC|w/ CCS,GW/yr,2045,1.93
GCAM 7.0,WM_062624,USA,Capacity Additions|Electricity|Gas|CC|w/ CCS,GW/yr,2050,2.93
GCAM 7.0,WM_062624,USA,Capacity Additions|Electricity|Gas|CC|w/o CCS,GW/yr,2020,32.96
GCAM 7.0,WM_062624,USA,Capacity Additions|Electricity|Gas|CC|w/o CCS,GW/yr,2025,31.38
GCAM 7.0,WM_062624,USA,Capacity Additions|Electricity|Gas|CC|w/o CCS,GW/yr,2030,29.94
