Model,Scenario,Year,Unit,Value,Variable,Region
GCAM 5.3,AM.HiRem.AdvPwr,2025,Mt CO2-equiv/yr,3952.847581,Emissions|GHG|Net,United States
GCAM 5.3,AM.HiRem.AdvPwr,2030,Mt CO2-equiv/yr,3123.418095,Emissions|GHG|Net,United States
GCAM 5.3,AM.HiRem.AdvPwr,2035,Mt CO2-equiv/yr,2028.240706,Emissions|GHG|Net,United States
GCAM 5.3,AM.HiRem.AdvPwr,2040,Mt CO2-equiv/yr,1350.030558,Emissions|GHG|Net,United States
GCAM 5.3,AM.HiRem.AdvPwr,2045,Mt CO2-equiv/yr,670.2648891,Emissions|GHG|Net,United States
GCAM 5.3,AM.HiRem.AdvPwr,2050,Mt CO2-equiv/yr,-42.69508841,Emissions|GHG|Net,United States
GCAM 5.3,AM.LowRem.AllAdv,2025,Mt CO2-equiv/yr,4081.708463,Emissions|GHG|Net,United States
GCAM 5.3,AM.LowRem.AllAdv,2030,Mt CO2-equiv/yr,3090.306346,Emissions|GHG|Net,United States
GCAM 5.3,AM.LowRem.AllAdv,2035,Mt CO2-equiv/yr,2072.703951,Emissions|GHG|Net,United States
GCAM 5.3,AM.LowRem.AllAdv,2040,Mt CO2-equiv/yr,1404.135853,Emissions|GHG|Net,United States
GCAM 5.3,AM.LowRem.AllAdv,2045,Mt CO2-equiv/yr,705.3984703,Emissions|GHG|Net,United States
GCAM 5.3,AM.LowRem.AllAdv,2050,Mt CO2-equiv/yr,121.1433981,Emissions|GHG|Net,United States
GCAM 5.3,AM.MedRem.AllAdv,2025,Mt CO2-equiv/yr,3959.308891,Emissions|GHG|Net,United States
GCAM 5.3,AM.MedRem.AllAdv,2030,Mt CO2-equiv/yr,3002.212091,Emissions|GHG|Net,United States
GCAM 5.3,AM.MedRem.AllAdv,2035,Mt CO2-equiv/yr,2072.321081,Emissions|GHG|Net,United States
GCAM 5.3,AM.MedRem.AllAdv,2040,Mt CO2-equiv/yr,1428.822848,Emissions|GHG|Net,United States
GCAM 5.3,AM.MedRem.AllAdv,2045,Mt CO2-equiv/yr,732.0798575,Emissions|GHG|Net,United States
GCAM 5.3,AM.MedRem.AllAdv,2050,Mt CO2-equiv/yr,-5.846564417,Emissions|GHG|Net,United States
GCAM 5.3,AM.MedRem.AllAdv.OGhighprice,2025,Mt CO2-equiv/yr,3856.485496,Emissions|GHG|Net,United States
GCAM 5.3,AM.MedRem.AllAdv.OGhighprice,2030,Mt CO2-equiv/yr,2911.155137,Emissions|GHG|Net,United States
GCAM 5.3,AM.MedRem.AllAdv.OGhighprice,2035,Mt CO2-equiv/yr,2076.010061,Emissions|GHG|Net,United States
GCAM 5.3,AM.MedRem.AllAdv.OGhighprice,2040,Mt CO2-equiv/yr,1431.351652,Emissions|GHG|Net,United States
GCAM 5.3,AM.MedRem.AllAdv.OGhighprice,2045,Mt CO2-equiv/yr,732.736841,Emissions|GHG|Net,United States
GCAM 5.3,AM.MedRem.AllAdv.OGhighprice,2050,Mt CO2-equiv/yr,-8.37794375,Emissions|GHG|Net,United States
GCAM 5.3,AM.MedRem.AllAdv.OGlowprice,2025,Mt CO2-equiv/yr,3995.167651,Emissions|GHG|Net,United States
GCAM 5.3,AM.MedRem.AllAdv.OGlowprice,2030,Mt CO2-equiv/yr,3050.443426,Emissions|GHG|Net,United States
GCAM 5.3,AM.MedRem.AllAdv.OGlowprice,2035,Mt CO2-equiv/yr,2062.011284,Emissions|GHG|Net,United States
GCAM 5.3,AM.MedRem.AllAdv.OGlowprice,2040,Mt CO2-equiv/yr,1423.763458,Emissions|GHG|Net,United States
GCAM 5.3,AM.MedRem.AllAdv.OGlowprice,2045,Mt CO2-equiv/yr,729.3607484,Emissions|GHG|Net,United States
GCAM 5.3,AM.MedRem.AllAdv.OGlowprice,2050,Mt CO2-equiv/yr,-2.579466853,Emissions|GHG|Net,United States
GCAM 5.3,AM.MedRem.AllAdv.SEhigh,2025,Mt CO2-equiv/yr,4003.813589,Emissions|GHG|Net,United States
GCAM 5.3,AM.MedRem.AllAdv.SEhigh,2030,Mt CO2-equiv/yr,3095.365245,Emissions|GHG|Net,United States
GCAM 5.3,AM.MedRem.AllAdv.SEhigh,2035,Mt CO2-equiv/yr,2086.46326,Emissions|GHG|Net,United States
GCAM 5.3,AM.MedRem.AllAdv.SEhigh,2040,Mt CO2-equiv/yr,1442.749047,Emissions|GHG|Net,United States
GCAM 5.3,AM.MedRem.AllAdv.SEhigh,2045,Mt CO2-equiv/yr,739.4400601,Emissions|GHG|Net,United States
GCAM 5.3,AM.MedRem.AllAdv.SEhigh,2050,Mt CO2-equiv/yr,4.778168167,Emissions|GHG|Net,United States
GCAM 5.3,AM.MedRem.AllAdv.SElow,2025,Mt CO2-equiv/yr,3918.672328,Emissions|GHG|Net,United States
GCAM 5.3,AM.MedRem.AllAdv.SElow,2030,Mt CO2-equiv/yr,2930.337766,Emissions|GHG|Net,United States
GCAM 5.3,AM.MedRem.AllAdv.SElow,2035,Mt CO2-equiv/yr,2062.476182,Emissions|GHG|Net,United States
GCAM 5.3,AM.MedRem.AllAdv.SElow,2040,Mt CO2-equiv/yr,1419.005831,Emissions|GHG|Net,United States
GCAM 5.3,AM.MedRem.AllAdv.SElow,2045,Mt CO2-equiv/yr,725.5341396,Emissions|GHG|Net,United States
GCAM 5.3,AM.MedRem.AllAdv.SElow,2050,Mt CO2-equiv/yr,-16.42729962,Emissions|GHG|Net,United States
GCAM 5.3,AM.MedRem.RefBldg,2025,Mt CO2-equiv/yr,3995.169379,Emissions|GHG|Net,United States
GCAM 5.3,AM.MedRem.RefBldg,2030,Mt CO2-equiv/yr,3083.502607,Emissions|GHG|Net,United States
GCAM 5.3,AM.MedRem.RefBldg,2035,Mt CO2-equiv/yr,2082.75018,Emissions|GHG|Net,United States
GCAM 5.3,AM.MedRem.RefBldg,2040,Mt CO2-equiv/yr,1446.274661,Emissions|GHG|Net,United States
GCAM 5.3,AM.MedRem.RefBldg,2045,Mt CO2-equiv/yr,737.5756096,Emissions|GHG|Net,United States
GCAM 5.3,AM.MedRem.RefBldg,2050,Mt CO2-equiv/yr,15.60890651,Emissions|GHG|Net,United States
GCAM 5.3,AM.MedRem.RefCH4,2025,Mt CO2-equiv/yr,4000.851613,Emissions|GHG|Net,United States
GCAM 5.3,AM.MedRem.RefCH4,2030,Mt CO2-equiv/yr,3068.957171,Emissions|GHG|Net,United States
GCAM 5.3,AM.MedRem.RefCH4,2035,Mt CO2-equiv/yr,2078.646459,Emissions|GHG|Net,United States
GCAM 5.3,AM.MedRem.RefCH4,2040,Mt CO2-equiv/yr,1433.0178,Emissions|GHG|Net,United States
GCAM 5.3,AM.MedRem.RefCH4,2045,Mt CO2-equiv/yr,734.1365383,Emissions|GHG|Net,United States
GCAM 5.3,AM.MedRem.RefCH4,2050,Mt CO2-equiv/yr,-4.410860864,Emissions|GHG|Net,United States
GCAM 5.3,AM.MedRem.RefInd,2025,Mt CO2-equiv/yr,3953.599857,Emissions|GHG|Net,United States
GCAM 5.3,AM.MedRem.RefInd,2030,Mt CO2-equiv/yr,2996.634789,Emissions|GHG|Net,United States
GCAM 5.3,AM.MedRem.RefInd,2035,Mt CO2-equiv/yr,2072.332923,Emissions|GHG|Net,United States
GCAM 5.3,AM.MedRem.RefInd,2040,Mt CO2-equiv/yr,1432.336735,Emissions|GHG|Net,United States
GCAM 5.3,AM.MedRem.RefInd,2045,Mt CO2-equiv/yr,741.9254563,Emissions|GHG|Net,United States
GCAM 5.3,AM.MedRem.RefInd,2050,Mt CO2-equiv/yr,1.93383636,Emissions|GHG|Net,United States
GCAM 5.3,AM.MedRem.RefPower,2025,Mt CO2-equiv/yr,4000.591133,Emissions|GHG|Net,United States
GCAM 5.3,AM.MedRem.RefPower,2030,Mt CO2-equiv/yr,3097.783153,Emissions|GHG|Net,United States
GCAM 5.3,AM.MedRem.RefPower,2035,Mt CO2-equiv/yr,2092.662603,Emissions|GHG|Net,United States
GCAM 5.3,AM.MedRem.RefPower,2040,Mt CO2-equiv/yr,1442.086369,Emissions|GHG|Net,United States
GCAM 5.3,AM.MedRem.RefPower,2045,Mt CO2-equiv/yr,735.0962429,Emissions|GHG|Net,United States
GCAM 5.3,AM.MedRem.RefPower,2050,Mt CO2-equiv/yr,-9.01524462,Emissions|GHG|Net,United States
GCAM 5.3,AM.MedRem.RefTrans,2025,Mt CO2-equiv/yr,4001.039826,Emissions|GHG|Net,United States
GCAM 5.3,AM.MedRem.RefTrans,2030,Mt CO2-equiv/yr,3097.230371,Emissions|GHG|Net,United States
GCAM 5.3,AM.MedRem.RefTrans,2035,Mt CO2-equiv/yr,2198.886989,Emissions|GHG|Net,United States
GCAM 5.3,AM.MedRem.RefTrans,2040,Mt CO2-equiv/yr,1477.398428,Emissions|GHG|Net,United States
GCAM 5.3,AM.MedRem.RefTrans,2045,Mt CO2-equiv/yr,758.9660964,Emissions|GHG|Net,United States
GCAM 5.3,AM.MedRem.RefTrans,2050,Mt CO2-equiv/yr,30.83851973,Emissions|GHG|Net,United States
