Model,Scenario,Region,Variable,Unit,Year,Value
USREP-ReEDS,btr_ref,FL,Carbon Sequestration|CCS|Fossil|Energy|Supply|Electricity,Mt CO2/yr,2040,-1.29E-15
USREP-ReEDS,btr_ref,FL,Carbon Sequestration|CCS|Fossil|Energy|Supply|Electricity,Mt CO2/yr,2045,3.46E-16
USREP-ReEDS,btr_ref,FL,Emissions|CO2|Energy|Supply|Electricity|Coal,Mt CO2/yr,2020,3.058301425
USREP-ReEDS,btr_ref,FL,Emissions|CO2|Energy|Supply|Electricity|Coal,Mt CO2/yr,2025,26.3741979
USREP-ReEDS,btr_ref,FL,Emissions|CO2|Energy|Supply|Electricity|Coal,Mt CO2/yr,2030,2.185014225
USREP-ReEDS,btr_ref,FL,Emissions|CO2|Energy|Supply|Electricity|Coal,Mt CO2/yr,2035,2.563282914
USREP-ReEDS,btr_ref,FL,Emissions|CO2|Energy|Supply|Electricity|Coal,Mt CO2/yr,2040,2.563282914
USREP-ReEDS,btr_ref,FL,Emissions|CO2|Energy|Supply|Electricity|Gas,Mt CO2/yr,2020,75.84727698
USREP-ReEDS,btr_ref,FL,Emissions|CO2|Energy|Supply|Electricity|Gas,Mt CO2/yr,2025,54.85890071
USREP-ReEDS,btr_ref,FL,Emissions|CO2|Energy|Supply|Electricity|Gas,Mt CO2/yr,2030,63.73116296
USREP-ReEDS,btr_ref,FL,Emissions|CO2|Energy|Supply|Electricity|Gas,Mt CO2/yr,2035,62.11284591
USREP-ReEDS,btr_ref,FL,Emissions|CO2|Energy|Supply|Electricity|Gas,Mt CO2/yr,2040,66.53263034
USREP-ReEDS,btr_ref,FL,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2020,78.9055784
USREP-ReEDS,btr_ref,FL,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2025,81.23309861
USREP-ReEDS,btr_ref,FL,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2030,65.91617718
USREP-ReEDS,btr_ref,FL,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2035,64.67612882
USREP-ReEDS,btr_ref,FL,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2040,69.09591325
USREP-ReEDS,btr_ref,FL,Emissions|CO2,Mt CO2/yr,2017,125.4478172
USREP-ReEDS,btr_ref,FL,Emissions|CO2,Mt CO2/yr,2020,225.5290496
USREP-ReEDS,btr_ref,FL,Emissions|CO2,Mt CO2/yr,2025,180.729563
USREP-ReEDS,btr_ref,FL,Emissions|CO2,Mt CO2/yr,2030,151.5949389
USREP-ReEDS,btr_ref,FL,Emissions|CO2,Mt CO2/yr,2035,142.6971703
USREP-ReEDS,btr_ref,FL,Emissions|CO2,Mt CO2/yr,2040,140.9185907
USREP-ReEDS,btr_ref,FL,Carbon Sequestration|CCS|Fossil|Energy|Demand|Industry,Mt CO2/yr,2017,0
USREP-ReEDS,btr_ref,FL,Carbon Sequestration|CCS|Fossil|Energy|Demand|Industry,Mt CO2/yr,2020,0
USREP-ReEDS,btr_ref,FL,Carbon Sequestration|CCS|Fossil|Energy|Demand|Industry,Mt CO2/yr,2025,0
USREP-ReEDS,btr_ref,FL,Carbon Sequestration|CCS|Fossil|Energy|Demand|Industry,Mt CO2/yr,2030,0
USREP-ReEDS,btr_ref,FL,Carbon Sequestration|CCS|Fossil|Energy|Demand|Industry,Mt CO2/yr,2035,0
USREP-ReEDS,btr_ref,FL,Carbon Sequestration|CCS|Fossil|Energy|Demand|Industry,Mt CO2/yr,2040,0
USREP-ReEDS,btr_ref,FL,Emissions|CO2|Energy,Mt CO2/yr,2017,125.4478172
USREP-ReEDS,btr_ref,FL,Emissions|CO2|Energy,Mt CO2/yr,2020,190.1034691
USREP-ReEDS,btr_ref,FL,Emissions|CO2|Energy,Mt CO2/yr,2025,180.729563
USREP-ReEDS,btr_ref,FL,Emissions|CO2|Energy,Mt CO2/yr,2030,151.5949389
USREP-ReEDS,btr_ref,FL,Emissions|CO2|Energy,Mt CO2/yr,2035,142.6971703
USREP-ReEDS,btr_ref,FL,Emissions|CO2|Energy,Mt CO2/yr,2040,140.9185907
USREP-ReEDS,btr_ref,FL,Emissions|CO2|Energy|Coal,Mt CO2/yr,2017,1.378766641
USREP-ReEDS,btr_ref,FL,Emissions|CO2|Energy|Coal,Mt CO2/yr,2020,4.340647934
USREP-ReEDS,btr_ref,FL,Emissions|CO2|Energy|Coal,Mt CO2/yr,2025,27.68200726
USREP-ReEDS,btr_ref,FL,Emissions|CO2|Energy|Coal,Mt CO2/yr,2030,3.482473028
USREP-ReEDS,btr_ref,FL,Emissions|CO2|Energy|Coal,Mt CO2/yr,2035,3.836858874
USREP-ReEDS,btr_ref,FL,Emissions|CO2|Energy|Coal,Mt CO2/yr,2040,3.818624758
USREP-ReEDS,btr_ref,FL,Emissions|CO2|Energy|Gas,Mt CO2/yr,2017,9.628151861
USREP-ReEDS,btr_ref,FL,Emissions|CO2|Energy|Gas,Mt CO2/yr,2020,85.56550027
USREP-ReEDS,btr_ref,FL,Emissions|CO2|Energy|Gas,Mt CO2/yr,2025,65.60052962
USREP-ReEDS,btr_ref,FL,Emissions|CO2|Energy|Gas,Mt CO2/yr,2030,74.91714821
USREP-ReEDS,btr_ref,FL,Emissions|CO2|Energy|Gas,Mt CO2/yr,2035,73.6983075
USREP-ReEDS,btr_ref,FL,Emissions|CO2|Energy|Gas,Mt CO2/yr,2040,78.41791404
USREP-ReEDS,btr_ref,FL,Emissions|CO2|Energy|Oil,Mt CO2/yr,2017,114.4408987
USREP-ReEDS,btr_ref,FL,Emissions|CO2|Energy|Oil,Mt CO2/yr,2020,100.1973209
USREP-ReEDS,btr_ref,FL,Emissions|CO2|Energy|Oil,Mt CO2/yr,2025,87.44702609
USREP-ReEDS,btr_ref,FL,Emissions|CO2|Energy|Oil,Mt CO2/yr,2030,73.19531764
USREP-ReEDS,btr_ref,FL,Emissions|CO2|Energy|Oil,Mt CO2/yr,2035,65.16200393
USREP-ReEDS,btr_ref,FL,Emissions|CO2|Energy|Oil,Mt CO2/yr,2040,58.6820519
USREP-ReEDS,btr_ref,FL,Carbon Sequestration|Direct Air Capture|Total,Mt CO2/yr,2017,0
USREP-ReEDS,btr_ref,FL,Carbon Sequestration|Direct Air Capture|Total,Mt CO2/yr,2020,0
