Model,Scenario,Region,Variable,Unit,Year,Value
USREP-ReEDS,btr4_ref_new,FL,Carbon Sequestration|CCS|Fossil|Energy|Supply|Electricity,Mt CO2/yr,2030,-8.75E-17
USREP-ReEDS,btr4_ref_new,FL,Carbon Sequestration|CCS|Fossil|Energy|Supply|Electricity,Mt CO2/yr,2035,1.53E-15
USREP-ReEDS,btr4_ref_new,FL,Carbon Sequestration|CCS|Fossil|Energy|Supply|Electricity,Mt CO2/yr,2040,2.56E-16
USREP-ReEDS,btr4_ref_new,FL,Emissions|CO2|Energy|Supply|Electricity|Coal,Mt CO2/yr,2020,3.058301425
USREP-ReEDS,btr4_ref_new,FL,Emissions|CO2|Energy|Supply|Electricity|Coal,Mt CO2/yr,2025,26.37424964
USREP-ReEDS,btr4_ref_new,FL,Emissions|CO2|Energy|Supply|Electricity|Coal,Mt CO2/yr,2030,2.185014225
USREP-ReEDS,btr4_ref_new,FL,Emissions|CO2|Energy|Supply|Electricity|Coal,Mt CO2/yr,2035,2.563282914
USREP-ReEDS,btr4_ref_new,FL,Emissions|CO2|Energy|Supply|Electricity|Coal,Mt CO2/yr,2040,2.563282914
USREP-ReEDS,btr4_ref_new,FL,Emissions|CO2|Energy|Supply|Electricity|Gas,Mt CO2/yr,2020,75.84727698
USREP-ReEDS,btr4_ref_new,FL,Emissions|CO2|Energy|Supply|Electricity|Gas,Mt CO2/yr,2025,56.19953756
USREP-ReEDS,btr4_ref_new,FL,Emissions|CO2|Energy|Supply|Electricity|Gas,Mt CO2/yr,2030,65.89356142
USREP-ReEDS,btr4_ref_new,FL,Emissions|CO2|Energy|Supply|Electricity|Gas,Mt CO2/yr,2035,64.82728284
USREP-ReEDS,btr4_ref_new,FL,Emissions|CO2|Energy|Supply|Electricity|Gas,Mt CO2/yr,2040,69.9230138
USREP-ReEDS,btr4_ref_new,FL,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2020,78.9055784
USREP-ReEDS,btr4_ref_new,FL,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2025,82.57378719
USREP-ReEDS,btr4_ref_new,FL,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2030,68.07857564
USREP-ReEDS,btr4_ref_new,FL,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2035,67.39056575
USREP-ReEDS,btr4_ref_new,FL,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2040,72.48629672
USREP-ReEDS,btr4_ref_new,FL,Emissions|CO2,Mt CO2/yr,2017,125.4478172
USREP-ReEDS,btr4_ref_new,FL,Emissions|CO2,Mt CO2/yr,2020,225.1277509
USREP-ReEDS,btr4_ref_new,FL,Emissions|CO2,Mt CO2/yr,2025,187.8945394
USREP-ReEDS,btr4_ref_new,FL,Emissions|CO2,Mt CO2/yr,2030,164.140441
USREP-ReEDS,btr4_ref_new,FL,Emissions|CO2,Mt CO2/yr,2035,156.1743681
USREP-ReEDS,btr4_ref_new,FL,Emissions|CO2,Mt CO2/yr,2040,156.3066093
USREP-ReEDS,btr4_ref_new,FL,Carbon Sequestration|CCS|Fossil|Energy|Demand|Industry,Mt CO2/yr,2017,0
USREP-ReEDS,btr4_ref_new,FL,Carbon Sequestration|CCS|Fossil|Energy|Demand|Industry,Mt CO2/yr,2020,0
USREP-ReEDS,btr4_ref_new,FL,Carbon Sequestration|CCS|Fossil|Energy|Demand|Industry,Mt CO2/yr,2025,0
USREP-ReEDS,btr4_ref_new,FL,Carbon Sequestration|CCS|Fossil|Energy|Demand|Industry,Mt CO2/yr,2030,0
USREP-ReEDS,btr4_ref_new,FL,Carbon Sequestration|CCS|Fossil|Energy|Demand|Industry,Mt CO2/yr,2035,0
USREP-ReEDS,btr4_ref_new,FL,Carbon Sequestration|CCS|Fossil|Energy|Demand|Industry,Mt CO2/yr,2040,0
USREP-ReEDS,btr4_ref_new,FL,Emissions|CO2|Energy,Mt CO2/yr,2017,125.4478172
USREP-ReEDS,btr4_ref_new,FL,Emissions|CO2|Energy,Mt CO2/yr,2020,190.2481993
USREP-ReEDS,btr4_ref_new,FL,Emissions|CO2|Energy,Mt CO2/yr,2025,187.8945394
USREP-ReEDS,btr4_ref_new,FL,Emissions|CO2|Energy,Mt CO2/yr,2030,164.140441
USREP-ReEDS,btr4_ref_new,FL,Emissions|CO2|Energy,Mt CO2/yr,2035,156.1743681
USREP-ReEDS,btr4_ref_new,FL,Emissions|CO2|Energy,Mt CO2/yr,2040,156.3066093
USREP-ReEDS,btr4_ref_new,FL,Emissions|CO2|Energy|Coal,Mt CO2/yr,2017,1.378766641
USREP-ReEDS,btr4_ref_new,FL,Emissions|CO2|Energy|Coal,Mt CO2/yr,2020,4.341541753
USREP-ReEDS,btr4_ref_new,FL,Emissions|CO2|Energy|Coal,Mt CO2/yr,2025,27.68058344
USREP-ReEDS,btr4_ref_new,FL,Emissions|CO2|Energy|Coal,Mt CO2/yr,2030,3.481811262
USREP-ReEDS,btr4_ref_new,FL,Emissions|CO2|Energy|Coal,Mt CO2/yr,2035,3.837996392
USREP-ReEDS,btr4_ref_new,FL,Emissions|CO2|Energy|Coal,Mt CO2/yr,2040,3.821635775
USREP-ReEDS,btr4_ref_new,FL,Emissions|CO2|Energy|Gas,Mt CO2/yr,2017,9.628151861
USREP-ReEDS,btr4_ref_new,FL,Emissions|CO2|Energy|Gas,Mt CO2/yr,2020,85.71397813
USREP-ReEDS,btr4_ref_new,FL,Emissions|CO2|Energy|Gas,Mt CO2/yr,2025,67.55915616
USREP-ReEDS,btr4_ref_new,FL,Emissions|CO2|Energy|Gas,Mt CO2/yr,2030,78.09744804
USREP-ReEDS,btr4_ref_new,FL,Emissions|CO2|Energy|Gas,Mt CO2/yr,2035,77.71832643
USREP-ReEDS,btr4_ref_new,FL,Emissions|CO2|Energy|Gas,Mt CO2/yr,2040,83.38153544
USREP-ReEDS,btr4_ref_new,FL,Emissions|CO2|Energy|Oil,Mt CO2/yr,2017,114.4408987
USREP-ReEDS,btr4_ref_new,FL,Emissions|CO2|Energy|Oil,Mt CO2/yr,2020,100.1926794
USREP-ReEDS,btr4_ref_new,FL,Emissions|CO2|Energy|Oil,Mt CO2/yr,2025,92.65479976
USREP-ReEDS,btr4_ref_new,FL,Emissions|CO2|Energy|Oil,Mt CO2/yr,2030,82.56118169
USREP-ReEDS,btr4_ref_new,FL,Emissions|CO2|Energy|Oil,Mt CO2/yr,2035,74.61804525
USREP-ReEDS,btr4_ref_new,FL,Emissions|CO2|Energy|Oil,Mt CO2/yr,2040,69.10343805
USREP-ReEDS,btr4_ref_new,FL,Carbon Sequestration|Direct Air Capture|Total,Mt CO2/yr,2017,0
USREP-ReEDS,btr4_ref_new,FL,Carbon Sequestration|Direct Air Capture|Total,Mt CO2/yr,2020,0
USREP-ReEDS,btr4_ref_new,FL,Carbon Sequestration|Direct Air Capture|Total,Mt CO2/yr,2025,0
USREP-ReEDS,btr4_ref_new,FL,Carbon Sequestration|Direct Air Capture|Total,Mt CO2/yr,2030,0
USREP-ReEDS,btr4_ref_new,FL,Carbon Sequestration|Direct Air Capture|Total,Mt CO2/yr,2035,0
USREP-ReEDS,btr4_ref_new,FL,Carbon Sequestration|Direct Air Capture|Total,Mt CO2/yr,2040,0
USREP-ReEDS,btr4_ref_new,FL,Emissions|CO2|Energy|Demand|Buildings,Mt CO2/yr,2017,8.017636292
USREP-ReEDS,btr4_ref_new,FL,Emissions|CO2|Energy|Demand|Buildings,Mt CO2/yr,2020,8.081530499
USREP-ReEDS,btr4_ref_new,FL,Emissions|CO2|Energy|Demand|Buildings,Mt CO2/yr,2025,8.657081809
USREP-ReEDS,btr4_ref_new,FL,Emissions|CO2|Energy|Demand|Buildings,Mt CO2/yr,2030,8.623848569
USREP-ReEDS,btr4_ref_new,FL,Emissions|CO2|Energy|Demand|Buildings,Mt CO2/yr,2035,8.630433541
USREP-ReEDS,btr4_ref_new,FL,Emissions|CO2|Energy|Demand|Buildings,Mt CO2/yr,2040,8.628215796
USREP-ReEDS,btr4_ref_new,FL,Emissions|CO2|Energy|Demand|Buildings|Commercial,Mt CO2/yr,2017,6.849544877
USREP-ReEDS,btr4_ref_new,FL,Emissions|CO2|Energy|Demand|Buildings|Commercial,Mt CO2/yr,2020,6.853704806
USREP-ReEDS,btr4_ref_new,FL,Emissions|CO2|Energy|Demand|Buildings|Commercial,Mt CO2/yr,2025,7.500936664
USREP-ReEDS,btr4_ref_new,FL,Emissions|CO2|Energy|Demand|Buildings|Commercial,Mt CO2/yr,2030,7.524841713
USREP-ReEDS,btr4_ref_new,FL,Emissions|CO2|Energy|Demand|Buildings|Commercial,Mt CO2/yr,2035,7.562363291
USREP-ReEDS,btr4_ref_new,FL,Emissions|CO2|Energy|Demand|Buildings|Commercial,Mt CO2/yr,2040,7.60299795
USREP-ReEDS,btr4_ref_new,FL,Emissions|CO2|Energy|Demand|Buildings|Indirect,Mt CO2/yr,2020,79.63673541
USREP-ReEDS,btr4_ref_new,FL,Emissions|CO2|Energy|Demand|Buildings|Indirect,Mt CO2/yr,2025,77.08107056
USREP-ReEDS,btr4_ref_new,FL,Emissions|CO2|Energy|Demand|Buildings|Indirect,Mt CO2/yr,2030,60.40661434
USREP-ReEDS,btr4_ref_new,FL,Emissions|CO2|Energy|Demand|Buildings|Indirect,Mt CO2/yr,2035,57.10172117
USREP-ReEDS,btr4_ref_new,FL,Emissions|CO2|Energy|Demand|Buildings|Indirect,Mt CO2/yr,2040,60.69605105
USREP-ReEDS,btr4_ref_new,FL,Emissions|CO2|Energy|Demand|Buildings|Residential,Mt CO2/yr,2017,1.168091415
USREP-ReEDS,btr4_ref_new,FL,Emissions|CO2|Energy|Demand|Buildings|Residential,Mt CO2/yr,2020,1.227825694
USREP-ReEDS,btr4_ref_new,FL,Emissions|CO2|Energy|Demand|Buildings|Residential,Mt CO2/yr,2025,1.156145145
USREP-ReEDS,btr4_ref_new,FL,Emissions|CO2|Energy|Demand|Buildings|Residential,Mt CO2/yr,2030,1.099006856
USREP-ReEDS,btr4_ref_new,FL,Emissions|CO2|Energy|Demand|Buildings|Residential,Mt CO2/yr,2035,1.06807025
USREP-ReEDS,btr4_ref_new,FL,Emissions|CO2|Energy|Demand|Buildings|Residential,Mt CO2/yr,2040,1.025217846
USREP-ReEDS,btr4_ref_new,FL,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,2017,11.21524595
USREP-ReEDS,btr4_ref_new,FL,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,2020,7.299463227
USREP-ReEDS,btr4_ref_new,FL,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,2025,9.375510291
USREP-ReEDS,btr4_ref_new,FL,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,2030,11.18276952
USREP-ReEDS,btr4_ref_new,FL,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,2035,12.12189877
USREP-ReEDS,btr4_ref_new,FL,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,2040,12.97293304
USREP-ReEDS,btr4_ref_new,FL,Emissions|CO2|Energy|Demand|Industry|EInt Mfg,Mt CO2/yr,2017,4.826542262
USREP-ReEDS,btr4_ref_new,FL,Emissions|CO2|Energy|Demand|Industry|EInt Mfg,Mt CO2/yr,2020,4.53806614
USREP-ReEDS,btr4_ref_new,FL,Emissions|CO2|Energy|Demand|Industry|EInt Mfg,Mt CO2/yr,2025,4.825872879
USREP-ReEDS,btr4_ref_new,FL,Emissions|CO2|Energy|Demand|Industry|EInt Mfg,Mt CO2/yr,2030,5.065099672
USREP-ReEDS,btr4_ref_new,FL,Emissions|CO2|Energy|Demand|Industry|EInt Mfg,Mt CO2/yr,2035,5.31682304
USREP-ReEDS,btr4_ref_new,FL,Emissions|CO2|Energy|Demand|Industry|EInt Mfg,Mt CO2/yr,2040,5.625879651
USREP-ReEDS,btr4_ref_new,FL,Emissions|CO2|Energy|Demand|Industry|EInt Mfg|Indirect,Mt CO2/yr,2020,1.612657622
USREP-ReEDS,btr4_ref_new,FL,Emissions|CO2|Energy|Demand|Industry|EInt Mfg|Indirect,Mt CO2/yr,2025,1.612404209
USREP-ReEDS,btr4_ref_new,FL,Emissions|CO2|Energy|Demand|Industry|EInt Mfg|Indirect,Mt CO2/yr,2030,1.159524781
USREP-ReEDS,btr4_ref_new,FL,Emissions|CO2|Energy|Demand|Industry|EInt Mfg|Indirect,Mt CO2/yr,2035,1.082215848
USREP-ReEDS,btr4_ref_new,FL,Emissions|CO2|Energy|Demand|Industry|EInt Mfg|Indirect,Mt CO2/yr,2040,1.12258292
USREP-ReEDS,btr4_ref_new,FL,Emissions|CO2|Energy|Demand|Industry|Indirect,Mt CO2/yr,2020,4.90389674
