Report,GWP,unit,Year,Emissions,notes
car_2014,AR5,MMTCO2e,1990,6332.8442982796,Data pulled from data-raw/ncbr_comparison/AllReports_AllARs_usproj.csv in BTR repo. AllReports_AllARs_usproj.csv created in the usproj repo
car_2014,AR5,MMTCO2e,1991,6284.85108664402,Data pulled from data-raw/ncbr_comparison/AllReports_AllARs_usproj.csv in BTR repo. AllReports_AllARs_usproj.csv created in the usproj repo
car_2014,AR5,MMTCO2e,1992,6401.47796797553,Data pulled from data-raw/ncbr_comparison/AllReports_AllARs_usproj.csv in BTR repo. AllReports_AllARs_usproj.csv created in the usproj repo
car_2014,AR5,MMTCO2e,1993,6539.94043249182,Data pulled from data-raw/ncbr_comparison/AllReports_AllARs_usproj.csv in BTR repo. AllReports_AllARs_usproj.csv created in the usproj repo
car_2014,AR5,MMTCO2e,1994,6618.56378296369,Data pulled from data-raw/ncbr_comparison/AllReports_AllARs_usproj.csv in BTR repo. AllReports_AllARs_usproj.csv created in the usproj repo
car_2014,AR5,MMTCO2e,1995,6701.27082243853,Data pulled from data-raw/ncbr_comparison/AllReports_AllARs_usproj.csv in BTR repo. AllReports_AllARs_usproj.csv created in the usproj repo
car_2014,AR5,MMTCO2e,1996,6906.46797101879,Data pulled from data-raw/ncbr_comparison/AllReports_AllARs_usproj.csv in BTR repo. AllReports_AllARs_usproj.csv created in the usproj repo
car_2014,AR5,MMTCO2e,1997,6969.67768948285,Data pulled from data-raw/ncbr_comparison/AllReports_AllARs_usproj.csv in BTR repo. AllReports_AllARs_usproj.csv created in the usproj repo
car_2014,AR5,MMTCO2e,1998,6984.64826129008,Data pulled from data-raw/ncbr_comparison/AllReports_AllARs_usproj.csv in BTR repo. AllReports_AllARs_usproj.csv created in the usproj repo
car_2014,AR5,MMTCO2e,1999,7042.3170147651,Data pulled from data-raw/ncbr_comparison/AllReports_AllARs_usproj.csv in BTR repo. AllReports_AllARs_usproj.csv created in the usproj repo
car_2014,AR5,MMTCO2e,2000,7205.71721079332,Data pulled from data-raw/ncbr_comparison/AllReports_AllARs_usproj.csv in BTR repo. AllReports_AllARs_usproj.csv created in the usproj repo
car_2014,AR5,MMTCO2e,2001,7095.73133485343,Data pulled from data-raw/ncbr_comparison/AllReports_AllARs_usproj.csv in BTR repo. AllReports_AllARs_usproj.csv created in the usproj repo
