datasrc,model,scenario,model_new,scenario_new,notes
OP-NEMS IRA 5cenario outputs w retire 07-19-23 - June cases.xlsx,OP-NEMS,OP IRA Moderate,NEMS-OP,IRA,
OP-NEMS IRA 5cenario outputs w retire 07-19-23 - June cases.xlsx,OP-NEMS,OP IRA Advanced,NEMS-OP,Opt-IRA.Adv,Changing this mapping per JM's instructionms
OP-NEMS IRA 5cenario outputs w retire 07-19-23 - June cases.xlsx,OP-NEMS,OP No New Policies,NEMS-OP,No IRA,
PNNL_GCAM6_IRA_EPA_LEEP_6_30_23.xlsx,GCAM6.0,IRA,GCAM-PNNL,IRA,
PNNL_GCAM6_IRA_EPA_LEEP_6_30_23.xlsx,GCAM6.0,NoIRA,GCAM-PNNL,No IRA,
PNNL_GCAM6_IRA_EPA_LEEP_6_30_23.xlsx,GCAM6.0,IRA_HighGrowth,GCAM-PNNL,High Growth,
PNNL_GCAM6_IRA_EPA_LEEP_6_30_23.xlsx,GCAM6.0,IRA_LowGrowth,GCAM-PNNL,Low Growth,
PNNL_GCAM6_IRA_EPA_LEEP_6_30_23.xlsx,GCAM6.0,IRA_AdvancedTech,GCAM-PNNL,All Advanced,
PNNL_GCAM6_IRA_EPA_LEEP_6_30_23.xlsx,GCAM6.0,IRA_HighEnergySupply,GCAM-PNNL,Low Energy Price,
PNNL_GCAM6_IRA_EPA_LEEP_6_30_23.xlsx,GCAM6.0,IRA_LowEnergySupply,GCAM-PNNL,High Energy Price,
usrep_reeds_allscen.csv,USREP-ReEDS,ira_mid,USREP-ReEDS,IRA,
usrep_reeds_allscen.csv,USREP-ReEDS,reference-noIRA,USREP-ReEDS,No IRA,
usrep_reeds_allscen.csv,USREP-ReEDS,ira_low,USREP-ReEDS,IRA.Low,
usrep_reeds_allscen.csv,USREP-ReEDS,ira_high,USREP-ReEDS,IRA.High,
usrep_reeds_allscen.csv,USREP-ReEDS,ira_low_adv,USREP-ReEDS,Pess-IRA.Adv,
usrep_reeds_allscen.csv,USREP-ReEDS,ira_mid_adv,USREP-ReEDS,All Advanced,
usrep_reeds_allscen.csv,USREP-ReEDS,ira_high_adv,USREP-ReEDS,Opt-IRA.Adv,
usrep_reeds_allscen.csv,USREP-ReEDS,ira_mid_constr,USREP-ReEDS,Constrained Deployment,
GCAM-LTS_ar5.csv,GCAM 5.3,AM.HiRem.AdvPwr,,,
GCAM-LTS_ar5.csv,GCAM 5.3,AM.LowRem.AllAdv,,,
GCAM-LTS_ar5.csv,GCAM 5.3,AM.MedRem.AllAdv,,,
GCAM-LTS_ar5.csv,GCAM 5.3,AM.MedRem.AllAdv.OGhighprice,,,
