usproj_category,usproj_sector,usproj_source,usproj_subsource,region,gas,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
AbandonedMines,Energy,OtherEnergy,OtherEnergy,USA,CH4,MMTCO2e,7.2,7.35,7.93,8.2,9.68,9.8,10.08,9,8.22,8.3,8.75,7.98,7.32,7.15,6.9,6.6,6.53,6.35,6.32,6.35,6.58,6.43,6.23,6.23,6.32,6.4,6.7,6.43,6.18,5.93,5.8,5.7,5.63,5.57,5.5,5.43,5.37,5.3,5.24,5.18,5.12,5.06,5,4.94,4.88,4.82,4.76,4.71,4.65,4.59,4.54,4.49,4.43,4.38,4.33,4.28,4.23,4.18,4.13,4.08,4.03
AbandonedWells,Energy,OtherEnergy,OtherEnergy,USA,CH4,MMTCO2e,6.85,6.9,6.95,7,7.05,7.08,7.1,7.12,7.12,7.15,7.18,7.2,7.2,7.2,7.2,7.23,7.23,7.23,7.23,7.25,7.25,7.25,7.28,7.28,7.3,7.32,7.35,7.38,7.4,7.43,7.38,7.38,7.43,7.45,7.46,7.48,7.5,7.51,7.53,7.54,7.56,7.57,7.59,7.61,7.62,7.64,7.65,7.67,7.68,7.7,7.71,7.73,7.75,7.76,7.78,7.79,7.81,7.82,7.84,7.86,7.87
AbandonedWells,Energy,OtherEnergy,OtherEnergy,USA,CO2,MMTCO2e,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Adipic,IPPU,Adipic,Adipic,USA,N2O,MMTCO2e,15.2,14.9,13.11,14.01,13.71,16.99,16.69,9.54,5.07,4.77,5.36,4.47,5.07,5.36,3.58,7.15,8.64,10.13,2.38,2.68,4.17,10.13,5.66,3.87,5.36,4.17,7.15,7.45,10.43,5.36,8.34,7.45,7.14,7.14,7.14,7.14,7.14,7.14,7.14,7.14,7.14,7.14,7.14,7.14,7.14,7.14,7.14,7.14,7.14,7.14,7.14,7.14,7.14,7.14,7.14,7.14,7.14,7.14,7.14,7.14,7.14
AgSoilsDirectCroplandDOS,Agriculture,AgSoils,AgsoilsDirectCropland,USA,N2O,MMTCO2e,3.4,3.4,3.4,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.2,3.3,3.2,3.2,3.1,3.1,3,3,3.1,3.1,3.1,3,3,3,3,3,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9
AgSoilsDirectCroplandOrgAmend,Agriculture,AgSoils,AgsoilsDirectCropland,USA,N2O,MMTCO2e,11.5,11.5,11.6,11.5,11.9,11.9,12.1,12.1,12,11.9,12.2,12.6,13.3,13,12.3,12.7,12.8,13.3,13.4,13.3,12.9,13.6,13.7,13.8,14,13.8,13.8,14.4,14.5,14.3,14.5,14.7,14.7,14.48,14.32,14.49,14.73,15,15.24,15.38,15.47,15.52,15.55,15.56,15.67,15.77,15.88,15.99,16.1,16.2,16.31,16.42,16.53,16.63,16.74,16.85,16.96,17.07,17.17,17.28,17.39
AgSoilsDirectCroplandResidueN,Agriculture,AgSoils,AgsoilsDirectCropland,USA,N2O,MMTCO2e,26.4,26.2,24.6,27.1,25.6,27.4,27.2,25.8,24.2,29,26.3,26.8,27.2,27.8,24.5,26.2,25.7,25.4,24.4,25.6,26.3,27.5,26.7,26.7,27.6,24.5,23.9,26.2,28.5,25.3,28.8,24.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AgSoilsDirectCroplandSynFert,Agriculture,AgSoils,AgsoilsDirectCropland,USA,N2O,MMTCO2e,61,61.2,60.4,61.8,70.5,62.7,68.8,66.3,63.8,65.5,64.9,62,65.1,65,67.3,65.3,63.8,68.6,66.3,61.7,62.6,68.5,71.3,72.9,73.1,68.7,66.1,69.8,68.8,65.6,64.3,62.7,62.59,62.48,62.38,62.27,62.16,62.06,61.95,61.84,61.74,61.63,61.53,61.42,61.31,61.21,61.1,61,60.89,60.79,60.68,60.58,60.48,60.37,60.27,60.16,60.06,59.96,59.86,59.75,59.65
AgSoilsDirectGrasslandBiosolids,Agriculture,AgSoils,AgsoilsDirectGrassland,USA,N2O,MMTCO2e,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
AgSoilsDirectGrasslandDOS,Agriculture,AgSoils,AgSoilsDirectGrassland,USA,N2O,MMTCO2e,2.3,2.3,2.3,2.3,2.4,2.3,2.3,2.4,2.3,2.3,2.3,2.2,2.3,2.2,2.2,2.2,2.3,2.2,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.2,2.2,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3
