usproj_category,usproj_sector,usproj_source,usproj_subsource,region,gas,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
AbandonedMines,Energy,OtherEnergy,OtherEnergy,USA,CH4,MMTCO2e,7.2,7.35,7.93,8.2,9.68,9.8,10.08,9,8.22,8.3,8.75,7.98,7.32,7.15,6.9,6.6,6.53,6.35,6.32,6.35,6.58,6.43,6.23,6.23,6.32,6.4,6.7,6.43,6.18,5.93,5.8,5.6,5.62,5.57,5.51,5.46,5.4,5.35,5.29,5.24,5.19,5.13,5.08,5.03,4.98,4.93,4.88,4.83,4.78,4.73,4.69,4.64,4.59,4.55,4.5,4.46,4.41,4.37,4.32,4.28,4.24
AbandonedWells,Energy,OtherEnergy,OtherEnergy,USA,CH4,MMTCO2e,6.98,7.03,7.08,7.12,7.15,7.2,7.23,7.25,7.28,7.28,7.3,7.32,7.35,7.35,7.35,7.35,7.35,7.38,7.38,7.4,7.4,7.4,7.43,7.43,7.45,7.48,7.48,7.53,7.53,7.55,7.58,7.65,7.58,7.64,7.66,7.68,7.7,7.72,7.74,7.76,7.78,7.8,7.82,7.84,7.86,7.88,7.9,7.92,7.94,7.96,7.98,8,8.02,8.04,8.06,8.08,8.1,8.12,8.14,8.16,8.18
AbandonedWells,Energy,OtherEnergy,OtherEnergy,USA,CO2,MMTCO2e,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Adipic,IPPU,Adipic,Adipic,USA,N2O,MMTCO2e,12.22,12.22,12.52,12.52,13.41,13.41,14.01,14.3,14.3,13.71,13.41,10.73,11.62,11.03,11.03,11.32,11.03,13.11,11.32,9.54,11.62,11.03,10.43,10.73,11.03,11.62,10.13,9.24,9.54,10.13,9.24,8.94,9.83,9.72,9.72,9.72,9.72,9.72,9.72,9.72,9.72,9.72,9.72,9.72,9.72,9.72,9.72,9.72,9.72,9.72,9.72,9.72,9.72,9.72,9.72,9.72,9.72,9.72,9.72,9.72,9.72
AgSoils,Agriculture,AgSoils,AgSoils,USA,N2O,MMTCO2e,288.6,279.89,274.94,290.49,293.34,289.13,299.64,288.42,289.46,291.52,283.8,296.41,298.87,300.08,303.94,297.79,295.86,305.3,300.91,300.26,304.11,304.12,291.22,325.22,331.59,318.37,308.48,314.53,331.87,313.14,295.34,298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aluminum,IPPU,Aluminum,Aluminum,USA,CO2,MMTCO2e,6.8,6.9,6.8,6.2,5.5,5.7,6,6,6.2,6.3,6.1,4.4,4.5,4.5,4.2,4.1,3.8,4.3,4.5,3,2.7,3.3,3.4,3.3,2.8,2.8,1.3,1.2,1.5,1.9,1.7,1.5,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4
Aluminum,IPPU,Aluminum,Aluminum,USA,PFCs,MMTCO2e,19.3,16.3,15,14.4,12.7,12.4,13,11.3,9,8.8,8.9,3.6,5.5,3.9,3,3.1,2.7,4.2,3,1.9,1.8,3.2,2.8,2.8,2.4,1.9,1.3,1,1.4,1.4,1.4,0.9,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Ammonia,IPPU,Ammonia,Ammonia,USA,CO2,MMTCO2e,14.4,14.66,15.13,14.55,15.56,14.88,15.22,15.41,15.65,14.3,13.38,10.29,11.65,9.85,10.62,10.23,9.77,10.26,9.43,9.29,9.82,8.97,9.97,9.94,10.56,10.11,10.2,12.48,12.67,12.4,13.01,12.19,12.61,13.46,13.8,14.13,14.46,14.79,15.13,15.46,15.79,16.12,16.46,16.79,17.12,17.45,17.79,18.12,18.45,18.78,19.12,19.45,19.78,20.12,20.45,20.78,21.11,21.45,21.78,22.11,22.44
BiomassBiofuels,Energy,BiomassBiofuels,BiomassBiofuels,USA,CO2,MMTCO2e,237.95,235.38,247.89,242.1,249.28,254.03,258.43,251.52,232.76,235.29,242.24,218.22,219.38,224.65,240.19,245.42,252.27,259.98,272.92,269.13,305.69,312.74,305.85,331.66,339.11,333.47,332.67,328.89,335.97,333.06,295.7,303.01,305.42,305.37,305.33,305.29,305.25,305.2,305.16,305.12,305.07,305.03,304.99,304.95,304.9,304.86,304.82,304.77,304.73,304.69,304.65,304.6,304.56,304.52,304.48,304.43,304.39,304.35,304.3,304.26,304.22
Bunkers,Energy,Bunkers,Bunkers,USA,CH4,MMTCO2e,0.18,0.18,0.15,0.12,0.12,0.12,0.12,0.12,0.15,0.12,0.1,0.1,0.1,0.1,0.12,0.12,0.12,0.12,0.15,0.12,0.15,0.12,0.1,0.08,0.08,0.1,0.1,0.1,0.1,0.1,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03
