usproj_category,usproj_sector,usproj_source,usproj_subsource,region,gas,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
AbandonedMines,Energy,OtherEnergy,OtherEnergy,USA,CH4,MMTCO2e,8.1,8.2,8.9,9.2,10.8,11,11.3,10.1,9.2,9.3,9.8,8.9,8.2,8,7.7,7.4,7.3,7.1,7.1,7.1,7.4,7.2,7,7,7.1,7.2,7.5,7.2,6.9,6.6,6.5,6.3,6.3,6.23,6.17,6.1,6.04,5.98,5.91,5.85,5.79,5.73,5.67,5.61,5.55,5.49,5.44,5.38,5.32,5.27,5.21,5.16,5.1,5.05,5,4.94,4.89,4.84,4.79,4.74,4.69
AbandonedWells,Energy,OtherEnergy,OtherEnergy,USA,CH4,MMTCO2e,7.8,7.9,7.9,8,8,8.1,8.1,8.1,8.1,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.4,8.4,8.4,8.4,8.5,8.5,8.6,8.5,8.58,8.61,8.64,8.66,8.69,8.72,8.75,8.77,8.8,8.83,8.85,8.88,8.91,8.94,8.96,8.99,9.02,9.05,9.07,9.1,9.13,9.15,9.18,9.21,9.24,9.26,9.29,9.32
AbandonedWells,Energy,OtherEnergy,OtherEnergy,USA,CO2,MMTCO2e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adipic,IPPU,Adipic,Adipic,USA,N2O,MMTCO2e,13.5,13.2,11.5,12.4,12,15,14.9,8.4,4.6,4.2,4.7,4,4.4,4.8,3.3,6.3,7.6,9.1,2.2,2.4,3.8,9.1,4.7,3.5,4.8,3.8,6.3,6.6,9.3,4.7,7.4,6.6,2.1,8.64,8.64,8.64,8.64,8.64,8.64,8.64,8.64,8.64,8.64,8.64,8.64,8.64,8.64,8.64,8.64,8.64,8.64,8.64,8.64,8.64,8.64,8.64,8.64,8.64,8.64,8.64,8.64
AgSoils,Agriculture,AgSoils,AgSoils,USA,N2O,MMTCO2e,288.8,277.8,275,292,288.7,287.5,296.9,285,291.1,288.1,278.6,295.1,295.3,296.2,304,294.1,293.4,303.3,300.2,299.2,302.7,301.4,282.8,324.6,330.1,321.6,307.4,314,333.4,315.6,292.1,298,290.8,292.62,293.69,291.69,291.7,291.28,291.29,291.09,290.77,290.63,290.56,290.48,290.34,290.23,290.11,289.99,289.88,289.76,289.64,289.52,289.41,289.29,289.17,289.07,288.95,288.83,288.71,288.6,288.48
Aluminum,IPPU,Aluminum,Aluminum,USA,CO2,MMTCO2e,6.8,6.9,6.8,6.2,5.5,5.7,6,6,6.2,6.3,6.1,4.4,4.5,4.5,4.2,4.1,3.8,4.3,4.5,3,2.7,3.3,3.4,3.3,2.8,2.8,1.3,1.2,1.5,1.9,1.7,1.5,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4
Aluminum,IPPU,Aluminum,Aluminum,USA,PFCs,MMTCO2e,19.3,16.3,15,14.4,12.7,12.4,13,11.3,9,8.8,8.9,3.6,5.5,3.9,3,3.1,2.7,4.2,3,1.9,1.8,3.2,2.8,2.8,2.4,1.9,1.3,1,1.4,1.4,1.4,0.9,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Ammonia,IPPU,Ammonia,Ammonia,USA,CO2,MMTCO2e,14.4,14.7,15.1,14.5,15.6,14.9,15.2,15.4,15.6,14.3,13.4,10.3,11.7,9.8,10.6,10.2,9.8,10.3,9.4,9.3,9.8,9,10,9.9,10.6,10.1,10.2,12.5,12.7,12.4,13,12.2,12.6,13.46,13.8,14.13,14.46,14.79,15.12,15.45,15.79,16.12,16.45,16.78,17.11,17.45,17.78,18.11,18.44,18.77,19.1,19.44,19.77,20.1,20.43,20.76,21.1,21.43,21.76,22.09,22.42
CO2Cons,IPPU,CO2Cons,CO2Cons,USA,CO2,MMTCO2e,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,0.9,1,1.4,1.3,1.4,1.8,1.9,1.8,1.8,4.4,4.1,4,4.2,4.5,4.9,4.6,4.6,4.1,4.9,5,5,5,5.12,5.2,5.29,5.37,5.45,5.54,5.62,5.71,5.79,5.87,5.96,6.04,6.12,6.21,6.29,6.37,6.46,6.54,6.63,6.71,6.79,6.88,6.96,7.04,7.13,7.21,7.29,7.38
CaproGlyAcid,IPPU,CaproGlyAcid,CaproGlyAcid,USA,N2O,MMTCO2e,1.5,1.4,1.5,1.6,1.7,1.7,1.7,1.7,1.8,1.8,1.8,1.6,1.8,1.7,1.9,1.9,1.8,2,1.9,1.9,2,2,1.8,1.9,1.8,1.7,1.5,1.3,1.3,1.2,1.1,1.2,1.3,1.26,1.22,1.18,1.14,1.1,1.07,1.04,1,0.97,0.94,0.91,0.88,0.85,0.82,0.8,0.77,0.75,0.72,0.7,0.68,0.66,0.64,0.62,0.6,0.58,0.56,0.54,0.52
Carbide,IPPU,Carbide,Carbide,USA,CH4,MMTCO2e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carbide,IPPU,Carbide,Carbide,USA,CO2,MMTCO2e,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
CarbonateUse,IPPU,CarbonateUse,CarbonateUse,USA,CO2,MMTCO2e,7.1,6.5,6.4,6,6.4,8.3,8.9,8.6,8.7,9.5,6.7,6.9,7.2,5.8,7.7,8.5,9.5,8.8,7.4,9.3,11.2,10.3,9.5,11.4,13.1,12.7,11.4,10.4,7.9,9,9,8.6,10.4,8.68,8.41,8.13,7.86,7.59,7.32,7.05,6.78,6.5,6.23,5.96,5.69,5.42,5.14,4.87,4.6,4.33,4.06,3.79,3.51,3.24,2.97,2.7,2.43,2.15,1.88,1.61,1.34
Cement,IPPU,Cement,Cement,USA,CO2,MMTCO2e,33.5,32.7,33,34.8,36.3,37.1,37.3,38.6,39.5,40.2,41.4,41.6,43.2,43.3,45.9,46.2,46.9,45.5,41.4,29.6,31.4,32.2,35.3,36.4,39.4,39.9,39.4,40.3,39,40.9,40.7,41.3,41.9,46.3,45.73,46.48,47.21,47.72,48.2,48.83,49.5,50.1,50.52,50.7,51.03,51.82,52.45,52.99,53.54,53.93,54.5,55.22,55.83,56.19,56.82,57.54,58.21,58.93,59.47,59.87,60.35
CoalMining,Energy,CoalMining,CoalMining,USA,CH4,MMTCO2e,108.1,104.6,101.6,86.5,86.9,85.6,85.1,84.5,84.8,79.7,76.5,76.2,71.5,71.6,73.1,71.5,73,72.6,84.7,89.4,92,79.7,73,72.4,72.3,68.5,60.3,61.4,59.1,53,46.2,44.7,43.6,42.53,47.41,46.06,44.72,42.12,36.67,31.2,27.35,26.02,25.59,25.74,24.59,22.72,22.65,22.45,22.4,18.04,18.35,18.44,18.55,18.2,17.47,17.62,18.14,18.32,19.05,18.99,18.95
CoalMining,Energy,CoalMining,CoalMining,USA,CO2,MMTCO2e,4.6,4.4,4.4,3.9,4.4,4.4,4.5,4.6,4.6,4.4,4.2,4.3,4,4,4.1,4.2,4.1,4,4.1,3.8,3.9,3.9,3.9,3.8,4,3.5,2.9,3.2,3.1,3,2.2,2.5,2.5,2.39,2.29,2.19,2.09,2,1.91,1.83,1.75,1.68,1.6,1.53,1.47,1.4,1.34,1.28,1.23,1.17,1.12,1.07,1.03,0.98,0.94,0.9,0.86,0.82,0.79,0.75,0.72
Compost,Waste,Compost,Compost,USA,CH4,MMTCO2e,0.4,0.5,0.5,0.7,0.9,1,1.1,1.2,1.3,1.5,1.7,1.7,1.7,1.9,2.1,2.1,2.1,2.2,2.2,2.1,2.1,2.1,2.2,2.3,2.3,2.4,2.6,2.7,2.5,2.5,2.6,2.6,2.6,2.71,2.75,2.79,2.83,2.86,2.9,2.94,2.98,3.02,3.05,3.09,3.13,3.17,3.21,3.25,3.28,3.32,3.36,3.4,3.44,3.47,3.51,3.55,3.59,3.63,3.67,3.7,3.74
Compost,Waste,Compost,Compost,USA,N2O,MMTCO2e,0.3,0.3,0.4,0.5,0.6,0.7,0.8,0.9,0.9,1.1,1.2,1.2,1.2,1.4,1.5,1.5,1.5,1.6,1.6,1.5,1.5,1.5,1.5,1.6,1.7,1.7,1.8,1.9,1.8,1.8,1.8,1.8,1.8,1.9,1.92,1.95,1.97,2,2.03,2.05,2.08,2.1,2.13,2.15,2.18,2.2,2.23,2.25,2.28,2.31,2.33,2.36,2.38,2.41,2.43,2.46,2.48,2.51,2.53,2.56,2.59
CroplandConvertCarbonStock,LULUCF,Cropland,CroplandConvertCarbonStock,USA,CO2,MMTCO2e,45.4,46.6,43.2,40.7,40.7,42.7,40.4,40.7,38.5,40.9,37.4,36,35.7,35.8,34.6,34.5,32.4,33.6,30.3,30.9,32.3,29.6,32,33.5,32,33.3,34.1,33.2,31.9,31.4,29.3,34.9,35.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CroplandRemainCarbonStock,LULUCF,Cropland,CroplandRemainCarbonStock,USA,CO2,MMTCO2e,-5,-18.6,-26.7,-13.6,-21.5,-18.2,-38.2,-35,-30.4,-32.2,-38,-35.8,-38.1,-29,-33.7,-31.6,-28.3,-27,-33.8,-15.6,-19.9,-38.5,-27.1,-16,-22.4,-24,-22.5,-18.8,-17.8,-19.4,-8.8,-32,-31.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EPS,IPPU,EPS,EPS,USA,PFCs,MMTCO2e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EPS,IPPU,EPS,EPS,USA,SF6,MMTCO2e,24.7,23.6,23.6,22.8,21.5,19.8,18.1,16.6,14.1,14.5,14,13.7,13,12.5,12.2,11.8,11,10.2,10.2,9,7.8,7.1,6.1,5.9,6,5.3,5.4,5.3,5,6.1,5.9,6,5.1,5.31,5.53,5.75,5.99,6.23,6.49,6.76,7.03,7.32,7.62,7.93,8.26,8.6,8.95,9.32,9.7,10.1,10.51,10.94,11.39,11.86,12.34,12.85,13.38,13.93,14.5,15.09,15.71
Electronics,IPPU,Electronics,Electronics,USA,HFCs,MMTCO2e,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.5,0.5,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.3,0.39,0.43,0.53,0.65,0.8,0.97,1.12,1.32,1.43,1.54,1.65,1.76,1.86,1.97,2.08,2.19,2.3,2.41,2.52,2.63,2.74,2.85,2.96,3.07,3.18,3.29,3.4,3.51
Electronics,IPPU,Electronics,Electronics,USA,N2O,MMTCO2e,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.32,0.36,0.45,0.54,0.68,0.83,0.95,1.12,1.21,1.31,1.4,1.49,1.59,1.68,1.78,1.87,1.96,2.06,2.15,2.25,2.34,2.43,2.53,2.62,2.72,2.81,2.9,3
