figure_type,figure_no,title_name,variable,variable_rename,flip_sign,regions,models,years,scenarios,type,x,y,range,facet1,facet2,page_filter,color,scales
coneplot,1,Net Emissions,Emissions|CO2|Energy,Energy & Industrial Processes,0,usa,model_wm,fives_proj,wm,single,year,value,model,NA,NA,region,variable_rename,fixed
coneplot,1,Net Emissions,Carbon Sequestration|CCS|Biomass|Energy,BECCS,0,usa,model_wm,fives_proj,wm,single,year,value,model,NA,NA,region,variable_rename,fixed
coneplot,1,Net Emissions,Carbon Sequestration|Chemical Feedstocks|Biomass,Bio-feedstocks,0,usa,model_wm,fives_proj,wm,single,year,value,model,NA,NA,region,variable_rename,fixed
coneplot,1,Net Emissions,Carbon Sequestration|Direct Air Capture|Net,DAC,0,usa,model_wm,fives_proj,wm,single,year,value,model,NA,NA,region,variable_rename,fixed
coneplot,1,Net Emissions,Carbon Sequestration|LULUCF,LULUCF,0,usa,model_wm,fives_proj,wm,single,year,value,model,NA,NA,region,variable_rename,fixed
coneplot,200,Net CO2 Emissions,Emissions|CO2|Net Emissions,CO2,0,usa,model_wm,fives_proj,wm,single,year,value,model,NA,NA,region,variable_rename,fixed
coneplot,2,Fossil Emissions,Emissions|CO2|Energy|Coal,Coal,0,usa,model_wm,fives_proj,wm,single,year,value,model,variable_rename,NA,region,variable_rename,fixed
coneplot,2,Fossil Emissions,Emissions|CO2|Energy|Gas,Gas,0,usa,model_wm,fives_proj,wm,single,year,value,model,variable_rename,NA,region,variable_rename,fixed
coneplot,2,Fossil Emissions,Emissions|CO2|Energy|Oil,Oil,0,usa,model_wm,fives_proj,wm,single,year,value,model,variable_rename,NA,region,variable_rename,fixed
coneplot,3,Primary Energy Fossil,Primary Energy|Coal,Coal,0,usa,model_wm,fives_proj,wm,single,year,value,model,variable_rename,NA,region,variable_rename,fixed
coneplot,3,Primary Energy Fossil,Primary Energy|Gas,Gas,0,usa,model_wm,fives_proj,wm,single,year,value,model,variable_rename,NA,region,variable_rename,fixed
coneplot,3,Primary Energy Fossil,Primary Energy|Oil,Oil,0,usa,model_wm,fives_proj,wm,single,year,value,model,variable_rename,NA,region,variable_rename,fixed
coneplot,4,Primary Energy Non-Fossil,Primary Energy|Hydro,Hydro,0,usa,model_wm,fives_proj,wm,single,year,value,model,variable_rename,NA,region,variable_rename,fixed
coneplot,4,Primary Energy Non-Fossil,Primary Energy|Biomass,Biomass,0,usa,model_wm,fives_proj,wm,single,year,value,model,variable_rename,NA,region,variable_rename,fixed
coneplot,4,Primary Energy Non-Fossil,Primary Energy|Nuclear,Nuclear,0,usa,model_wm,fives_proj,wm,single,year,value,model,variable_rename,NA,region,variable_rename,fixed
coneplot,4,Primary Energy Non-Fossil,Primary Energy|Wind,Wind,0,usa,model_wm,fives_proj,wm,single,year,value,model,variable_rename,NA,region,variable_rename,fixed
coneplot,4,Primary Energy Non-Fossil,Primary Energy|Geothermal,Geothermal,0,usa,model_wm,fives_proj,wm,single,year,value,model,variable_rename,NA,region,variable_rename,fixed
coneplot,4,Primary Energy Non-Fossil,Primary Energy|Ocean,Ocean,0,usa,model_wm,fives_proj,wm,single,year,value,model,variable_rename,NA,region,variable_rename,fixed
coneplot,4,Primary Energy Non-Fossil,Primary Energy|Other,Other,0,usa,model_wm,fives_proj,wm,single,year,value,model,variable_rename,NA,region,variable_rename,fixed
coneplot,4,Primary Energy Non-Fossil,Primary Energy|Solar,Solar,0,usa,model_wm,fives_proj,wm,single,year,value,model,variable_rename,NA,region,variable_rename,fixed
coneplot,5,Secondary Energy,Secondary Energy|Biogas,Biogas,0,usa,model_wm,fives_proj,wm,single,year,value,model,variable_rename,NA,region,variable_rename,fixed
coneplot,5,Secondary Energy,Secondary Energy|Biomass Liquids,Biomass Liquids,0,usa,model_wm,fives_proj,wm,single,year,value,model,variable_rename,NA,region,variable_rename,fixed
coneplot,5,Secondary Energy,Secondary Energy|Electricity,Electricity,0,usa,model_wm,fives_proj,wm,single,year,value,model,variable_rename,NA,region,variable_rename,fixed
coneplot,5,Secondary Energy,Secondary Energy|Hydrogen,Hydrogen,0,usa,model_wm,fives_proj,wm,single,year,value,model,variable_rename,NA,region,variable_rename,fixed
coneplot,5,Secondary Energy,Secondary Energy|Petroleum Refining,Refining,0,usa,model_wm,fives_proj,wm,single,year,value,model,variable_rename,NA,region,variable_rename,fixed
coneplot,5,Secondary Energy,Secondary Energy|Synthetic Gas,Synthetic Gas,0,usa,model_wm,fives_proj,wm,single,year,value,model,variable_rename,NA,region,variable_rename,fixed
coneplot,5,Secondary Energy,Secondary Energy|Synthetic Liquids,Synthetic Liquids,0,usa,model_wm,fives_proj,wm,single,year,value,model,variable_rename,NA,region,variable_rename,fixed
coneplot,6,Sectoral Emissions,Emissions|CO2|Energy|Demand|Buildings,Buildings,0,usa,model_wm,fives_proj,wm,wrap,year,value,model,variable_rename,NA,region,variable_rename,fixed
coneplot,6,Sectoral Emissions,Emissions|CO2|Energy|Demand|Industry,Industry,0,usa,model_wm,fives_proj,wm,wrap,year,value,model,variable_rename,NA,region,variable_rename,fixed
coneplot,6,Sectoral Emissions,Emissions|CO2|Energy|Demand|Transportation,Transportation,0,usa,model_wm,fives_proj,wm,wrap,year,value,model,variable_rename,NA,region,variable_rename,fixed
coneplot,6,Sectoral Emissions,Emissions|CO2|Energy|Supply|Electricity,Electricity,0,usa,model_wm,fives_proj,wm,wrap,year,value,model,variable_rename,NA,region,variable_rename,fixed
coneplot,100,Sectoral Emissions - NZ50,Emissions|CO2|Energy|Demand|Buildings,Buildings,0,usa,model_wm,fives_proj,wm,grid,year,value,model,variable_rename,scenario,region,variable_rename,free_y
