figure_type,figure_no,title_name,variable,variable_rename,facet_variable,flip_sign,regions,models,years,scenarios,type,x,y,facet1,facet2,linetype,color,page_filter,scales
timeseriesplot,1,Final Energy by Fuel - Electricity,Final Energy|Coal,Coal,FALSE,0,usa,model_wm,fives_proj,scen_wm_sensitivities,grid,year,value,region,variable_rename,scenario,model,region,free_y
timeseriesplot,1,Final Energy by Fuel - Electricity,Final Energy|Gas,Gas,FALSE,0,usa,model_wm,fives_proj,scen_wm_sensitivities,grid,year,value,region,variable_rename,scenario,model,region,free_y
timeseriesplot,1,Final Energy by Fuel - Electricity,Final Energy|Oil,Oil,FALSE,0,usa,model_wm,fives_proj,scen_wm_sensitivities,grid,year,value,region,variable_rename,scenario,model,region,free_y
timeseriesplot,1,Final Energy by Fuel - Electricity,Final Energy|Biogas,Biogas,FALSE,0,usa,model_wm,fives_proj,scen_wm_sensitivities,grid,year,value,region,variable_rename,scenario,model,region,free_y
timeseriesplot,1,Final Energy by Fuel - Electricity,Final Energy|Biomass Liquids,Biomass Liquids,FALSE,0,usa,model_wm,fives_proj,scen_wm_sensitivities,grid,year,value,region,variable_rename,scenario,model,region,free_y
timeseriesplot,1,Final Energy by Fuel - Electricity,Final Energy|Electricity,Electricity,FALSE,0,usa,model_wm,fives_proj,scen_wm_sensitivities,grid,year,value,region,variable_rename,scenario,model,region,free_y
timeseriesplot,1,Final Energy by Fuel - Electricity,Final Energy|Hydrogen,Hydrogen,FALSE,0,usa,model_wm,fives_proj,scen_wm_sensitivities,grid,year,value,region,variable_rename,scenario,model,region,free_y
timeseriesplot,2,Final Energy by Sector,Final Energy|Buildings,Buildings,FALSE,0,usa,model_wm,fives_proj,scen_wm_sensitivities,grid,year,value,region,variable_rename,scenario,model,region,free_y
timeseriesplot,2,Final Energy by Sector,Final Energy|Industry,Industry,FALSE,0,usa,model_wm,fives_proj,scen_wm_sensitivities,grid,year,value,region,variable_rename,scenario,model,region,free_y
timeseriesplot,2,Final Energy by Sector,Final Energy|Transportation,Transportation,FALSE,0,usa,model_wm,fives_proj,scen_wm_sensitivities,grid,year,value,region,variable_rename,scenario,model,region,free_y
timeseriesplot,2,Final Energy by Sector,Final Energy,Total Energy,FALSE,0,usa,model_wm,fives_proj,scen_wm_sensitivities,grid,year,value,region,variable_rename,scenario,model,region,free_y
timeseriesplot,3,Energy-Related CO2 Emissions,Emissions|CO2|Energy,Energy CO2 Emissions,FALSE,0,usa,model_wm,fives_proj,scen_wm_sensitivities,grid,year,value,region,variable_rename,scenario,model,region,free_y
timeseriesplot,4,Fossil Emissions,Emissions|CO2|Energy|Coal,Coal,FALSE,0,usa,model_wm,fives_proj,scen_wm_sensitivities,grid,year,value,region,variable_rename,scenario,model,region,free_y
timeseriesplot,4,Fossil Emissions,Emissions|CO2|Energy|Gas,Gas,FALSE,0,usa,model_wm,fives_proj,scen_wm_sensitivities,grid,year,value,region,variable_rename,scenario,model,region,free_y
timeseriesplot,4,Fossil Emissions,Emissions|CO2|Energy|Oil,Oil,FALSE,0,usa,model_wm,fives_proj,scen_wm_sensitivities,grid,year,value,region,variable_rename,scenario,model,region,free_y
timeseriesplot,5,Bioenergy-related sequestration,Carbon Sequestration|CCS|Biomass|Energy,BECCS,FALSE,0,usa,model_wm,fives_proj,scen_wm_sensitivities,grid,year,value,region,variable_rename,scenario,model,region,free_y
