"variable","EPA-GHGI","GCAM","OP-NEMS","USREP-ReEDS"
"Emissions|CO2|Energy|Demand|Buildings","reported","reported","reported","reported"
"Emissions|CO2|Energy|Demand|Buildings|Indirect","reported","reported","reported","reported"
"Emissions|CO2|Energy|Demand|Industry","unreported","reported","reported","reported"
"Emissions|CO2|Energy|Demand|Industry|Indirect","unreported","reported","reported","reported"
"Emissions|CO2|Energy|Demand|Transportation","reported","reported","reported","reported"
"Emissions|CO2|Energy|Demand|Transportation|Indirect","reported","reported","reported","reported"
"Emissions|CO2|Energy|Supply|Biogas","unreported","unreported","unreported","unreported"
"Emissions|CO2|Energy|Supply|Biomass Liqids","unreported","unreported","unreported","unreported"
"Emissions|CO2|Energy|Supply|Gas","unreported","unreported","unreported","unreported"
"Emissions|CO2|Energy|Supply|Heat","unreported","unreported","unreported","unreported"
"Emissions|CO2|Energy|Supply|Hydrogen","unreported","reported","unreported","unreported"
"Emissions|CO2|Energy|Supply|Indirect","unreported","unreported","unreported","unreported"
"Emissions|CO2|Energy|Supply|Petroleum Refining","unreported","reported","reported","reported"
"Emissions|CO2|Energy|Supply|Synthetic Gas","unreported","unreported","unreported","unreported"
"Emissions|CO2|Energy|Supply|Synthetic Liquids","unreported","unreported","unreported","unreported"
