proj_name,source,year,value
gcam_ira_lowseq,Total Net Emissions,2025,5652.348118174561
gcam_ira_lowseq,Total Net Emissions,2030,5101.341622015627
gcam_ira_lowseq,Total Net Emissions,2035,4754.422648624909
gcam_ira_lowseq,Total Net Emissions,2040,4633.643275911275
gcam_ira_lowseq,Total Net Emissions,2045,4807.333926935949
gcam_ira_lowseq,Total Net Emissions,2050,4901.185285796733
gcam_wm_hiseq,Total Net Emissions,2025,5646.748852999841
gcam_wm_hiseq,Total Net Emissions,2030,5181.360609238947
gcam_wm_hiseq,Total Net Emissions,2035,4538.944283944193
gcam_wm_hiseq,Total Net Emissions,2040,4333.504468787357
gcam_wm_hiseq,Total Net Emissions,2045,4278.104494980136
gcam_wm_hiseq,Total Net Emissions,2050,4247.6516298110555
gcam_wm_lowseq,Total Net Emissions,2025,5646.748852999841
gcam_wm_lowseq,Total Net Emissions,2030,5181.360609238947
gcam_wm_lowseq,Total Net Emissions,2035,4538.944283944193
gcam_wm_lowseq,Total Net Emissions,2040,4333.504468787357
gcam_wm_lowseq,Total Net Emissions,2045,4278.104494980136
gcam_wm_lowseq,Total Net Emissions,2050,4247.6516298110555
ghgi,Total Net Emissions,1990,6536.8
ghgi,Total Net Emissions,1991,6472.0999999999995
ghgi,Total Net Emissions,1992,6576.200000000001
ghgi,Total Net Emissions,1993,6686.3
ghgi,Total Net Emissions,1994,6782.2
ghgi,Total Net Emissions,1995,6862.000000000001
ghgi,Total Net Emissions,1996,7056.2
ghgi,Total Net Emissions,1997,7108.7
ghgi,Total Net Emissions,1998,7178.700000000001
ghgi,Total Net Emissions,1999,7218.5999999999995
ghgi,Total Net Emissions,2000,7419.6
ghgi,Total Net Emissions,2001,7287.5
ghgi,Total Net Emissions,2002,7329.9
ghgi,Total Net Emissions,2003,7386.799999999999
ghgi,Total Net Emissions,2004,7492
ghgi,Total Net Emissions,2005,7494.9
ghgi,Total Net Emissions,2006,7429.2
ghgi,Total Net Emissions,2007,7529.9
ghgi,Total Net Emissions,2008,7326.2
ghgi,Total Net Emissions,2009,6866.9
ghgi,Total Net Emissions,2010,7066.199999999999
ghgi,Total Net Emissions,2011,6912
ghgi,Total Net Emissions,2012,6660.9
ghgi,Total Net Emissions,2013,6845.4000000000005
ghgi,Total Net Emissions,2014,6905.700000000001
ghgi,Total Net Emissions,2015,6736.3
ghgi,Total Net Emissions,2016,6580.000000000001
ghgi,Total Net Emissions,2017,6550.7
ghgi,Total Net Emissions,2018,6752.5
ghgi,Total Net Emissions,2019,6590
ghgi,Total Net Emissions,2020,6002
ghgi,Total Net Emissions,2021,6328.8
ghgi,Total Net Emissions,2022,6343.3
nems_ira_lowseq,Total Net Emissions,2025,6086.272119
nems_ira_lowseq,Total Net Emissions,2030,5344.665917
nems_ira_lowseq,Total Net Emissions,2035,4884.418784
nems_ira_lowseq,Total Net Emissions,2040,4947.285056000001
nems_ira_lowseq,Total Net Emissions,2045,4910.709761
nems_ira_lowseq,Total Net Emissions,2050,4996.18078
nems_wm_hiseq,Total Net Emissions,2025,6168.337423000001
nems_wm_hiseq,Total Net Emissions,2030,5371.875187000001
nems_wm_hiseq,Total Net Emissions,2035,4887.294444
nems_wm_hiseq,Total Net Emissions,2040,4650.314765
nems_wm_hiseq,Total Net Emissions,2045,4612.700192
nems_wm_hiseq,Total Net Emissions,2050,4617.214339
nems_wm_lowseq,Total Net Emissions,2025,6168.337423000001
nems_wm_lowseq,Total Net Emissions,2030,5371.875187000001
nems_wm_lowseq,Total Net Emissions,2035,4887.294444
nems_wm_lowseq,Total Net Emissions,2040,4650.314765
nems_wm_lowseq,Total Net Emissions,2045,4612.700192
nems_wm_lowseq,Total Net Emissions,2050,4617.214339
usrr_ira_lowseq,Total Net Emissions,2025,5726.78057591
usrr_ira_lowseq,Total Net Emissions,2030,5065.85806633
usrr_ira_lowseq,Total Net Emissions,2035,4767.46702279
usrr_ira_lowseq,Total Net Emissions,2040,4547.47389022
usrr_ira_lowseq,Total Net Emissions,2045,4508.32505837
usrr_ira_lowseq,Total Net Emissions,2050,4513.72986832
usrr_wm_hiseq,Total Net Emissions,2025,5913.7015073
usrr_wm_hiseq,Total Net Emissions,2030,5163.3152945
usrr_wm_hiseq,Total Net Emissions,2035,4709.11622042
usrr_wm_hiseq,Total Net Emissions,2040,4865.00265809
usrr_wm_hiseq,Total Net Emissions,2045,1578.62
usrr_wm_hiseq,Total Net Emissions,2050,1620.53
usrr_wm_lowseq,Total Net Emissions,2025,5913.7015073
usrr_wm_lowseq,Total Net Emissions,2030,5163.3152945
usrr_wm_lowseq,Total Net Emissions,2035,4709.11622042
usrr_wm_lowseq,Total Net Emissions,2040,4865.00265809
usrr_wm_lowseq,Total Net Emissions,2045,1578.62
usrr_wm_lowseq,Total Net Emissions,2050,1620.53
